edge_name,unix_timestamp,percentage_cpu_utilisation
edge1,1631648105.13073,0
edge1,1631648108.14913,0.8
edge1,1631648111.16478,3.1
edge1,1631648114.18348,2.6
edge1,1631648117.2087,0.3
edge1,1631648120.21769,1.3
edge1,1631648123.22467,2.6
edge1,1631648126.23769,1.3
edge1,1631648129.26581,0.8
edge1,1631648132.2737,0.3
edge1,1631648135.28405,2.3
edge1,1631648138.29159,0.5
edge1,1631648141.3063,1.3
edge1,1631648144.33569,2.4
edge1,1631648147.35773,2
edge1,1631648150.36881,0.3
edge1,1631648153.37629,0.5
edge1,1631648156.40412,2.3
edge1,1631648159.41858,1.6
edge1,1631648162.43869,1.3
