Interval,,Tran,sfer,Bitr,ate,Total Datagrams
0.00-1.00,sec,2.62,MBytes,22,Mbits/sec,1898
1.00-2.00,sec,2.62,MBytes,22,Mbits/sec,1899
2.00-3.00,sec,2.62,MBytes,22,Mbits/sec,1899
3.00-4.00,sec,2.62,MBytes,22,Mbits/sec,1899
4.00-5.00,sec,2.62,MBytes,22,Mbits/sec,1900
5.00-6.00,sec,2.62,MBytes,22,Mbits/sec,1899
6.00-7.00,sec,2.62,MBytes,22,Mbits/sec,1899
7.00-8.00,sec,2.62,MBytes,22,Mbits/sec,1899
8.00-9.00,sec,2.62,MBytes,22,Mbits/sec,1899
9.00-10.00,sec,2.62,MBytes,22,Mbits/sec,1900
10.00-11.00,sec,2.62,MBytes,22,Mbits/sec,1899
11.00-12.00,sec,2.62,MBytes,22,Mbits/sec,1899
12.00-13.00,sec,2.62,MBytes,22,Mbits/sec,1899
13.00-14.00,sec,2.62,MBytes,22,Mbits/sec,1899
14.00-15.00,sec,2.62,MBytes,22,Mbits/sec,1900
15.00-16.00,sec,2.62,MBytes,22,Mbits/sec,1899
16.00-17.00,sec,2.62,MBytes,22,Mbits/sec,1899
17.00-18.00,sec,2.62,MBytes,22,Mbits/sec,1899
18.00-19.00,sec,2.62,MBytes,22,Mbits/sec,1899
19.00-20.00,sec,2.62,MBytes,22,Mbits/sec,1899
20.00-21.00,sec,2.62,MBytes,22,Mbits/sec,1899
21.00-22.00,sec,2.62,MBytes,22,Mbits/sec,1900
22.00-23.00,sec,2.62,MBytes,22,Mbits/sec,1899
23.00-24.00,sec,2.62,MBytes,22,Mbits/sec,1899
24.00-25.00,sec,2.62,MBytes,22,Mbits/sec,1899
25.00-26.00,sec,2.62,MBytes,22,Mbits/sec,1899
26.00-27.00,sec,2.62,MBytes,22,Mbits/sec,1899
27.00-28.00,sec,2.62,MBytes,22,Mbits/sec,1900
28.00-29.00,sec,2.62,MBytes,22,Mbits/sec,1899
29.00-30.00,sec,2.62,MBytes,22,Mbits/sec,1899
30.00-31.00,sec,2.62,MBytes,22,Mbits/sec,1899
31.00-32.00,sec,2.62,MBytes,22,Mbits/sec,1899
32.00-33.00,sec,2.62,MBytes,22,Mbits/sec,1899
33.00-34.00,sec,2.62,MBytes,22,Mbits/sec,1900
34.00-35.00,sec,2.62,MBytes,22,Mbits/sec,1899
35.00-36.00,sec,2.62,MBytes,22,Mbits/sec,1899
36.00-37.00,sec,2.62,MBytes,22,Mbits/sec,1899
37.00-38.00,sec,2.62,MBytes,22,Mbits/sec,1899
38.00-39.00,sec,2.62,MBytes,22,Mbits/sec,1899
39.00-40.00,sec,2.62,MBytes,22,Mbits/sec,1900
40.00-41.00,sec,2.62,MBytes,22,Mbits/sec,1899
41.00-42.00,sec,2.62,MBytes,22,Mbits/sec,1899
42.00-43.00,sec,2.62,MBytes,22,Mbits/sec,1899
43.00-44.00,sec,2.62,MBytes,22,Mbits/sec,1899
44.00-45.00,sec,2.62,MBytes,22,Mbits/sec,1900
45.00-46.00,sec,2.62,MBytes,22,Mbits/sec,1899
46.00-47.00,sec,2.62,MBytes,22,Mbits/sec,1899
47.00-48.00,sec,2.62,MBytes,22,Mbits/sec,1899
48.00-49.00,sec,2.62,MBytes,22,Mbits/sec,1899
49.00-50.00,sec,2.62,MBytes,22,Mbits/sec,1899
50.00-51.00,sec,2.62,MBytes,22,Mbits/sec,1900
51.00-52.00,sec,2.62,MBytes,22,Mbits/sec,1899
52.00-53.00,sec,2.62,MBytes,22,Mbits/sec,1899
53.00-54.00,sec,2.62,MBytes,22,Mbits/sec,1899
54.00-55.00,sec,2.62,MBytes,22,Mbits/sec,1899
55.00-56.00,sec,2.62,MBytes,22,Mbits/sec,1900
56.00-57.00,sec,2.62,MBytes,22,Mbits/sec,1899
57.00-58.00,sec,2.62,MBytes,22,Mbits/sec,1899
58.00-59.00,sec,2.62,MBytes,22,Mbits/sec,1899
59.00-60.00,sec,2.62,MBytes,22,Mbits/sec,1899
60.00-61.00,sec,2.62,MBytes,22,Mbits/sec,1900
61.00-62.00,sec,2.62,MBytes,22,Mbits/sec,1898
62.00-63.00,sec,2.62,MBytes,22,Mbits/sec,1900
63.00-64.00,sec,2.62,MBytes,22,Mbits/sec,1899
64.00-65.00,sec,2.62,MBytes,22,Mbits/sec,1899
65.00-66.00,sec,2.62,MBytes,22,Mbits/sec,1899
66.00-67.00,sec,2.62,MBytes,22,Mbits/sec,1899
67.00-68.00,sec,2.62,MBytes,22,Mbits/sec,1899
68.00-69.00,sec,2.62,MBytes,22,Mbits/sec,1900
69.00-70.00,sec,2.62,MBytes,22,Mbits/sec,1899
70.00-71.00,sec,2.62,MBytes,22,Mbits/sec,1899
71.00-72.00,sec,2.62,MBytes,22,Mbits/sec,1899
72.00-73.00,sec,2.62,MBytes,22,Mbits/sec,1899
73.00-74.00,sec,2.62,MBytes,22,Mbits/sec,1899
74.00-75.00,sec,2.62,MBytes,22,Mbits/sec,1900
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Tran,sfer,Bitr,ate,Jitter    Lost/Total Datagrams
0.00-75.00,sec,197,MBytes,22,Mbits/sec,0.000 ms  0/142437 (0%)  sender
0.00-75.01,sec,197,MBytes,22,Mbits/sec,0.192 ms  0/142437 (0%)  receiver
,,,,,,
Done.,,,,,,
