Interval,,Transfer,,Bitrate,,Total Datagrams
0.00-1.00,sec,3.16,MBytes,26.5,Mbits/sec,2290
1.00-2.00,sec,3.56,MBytes,29.9,Mbits/sec,2579
2.00-3.00,sec,3.66,MBytes,30.7,Mbits/sec,2652
3.00-4.00,sec,3.63,MBytes,30.4,Mbits/sec,2628
4.00-5.00,sec,3.53,MBytes,29.6,Mbits/sec,2559
5.00-6.00,sec,3.52,MBytes,29.5,Mbits/sec,2548
6.00-7.00,sec,3.32,MBytes,27.9,Mbits/sec,2405
7.00-8.00,sec,3.02,MBytes,25.3,Mbits/sec,2184
8.00-9.00,sec,3.16,MBytes,26.5,Mbits/sec,2288
9.00-10.00,sec,3.48,MBytes,29.2,Mbits/sec,2522
10.00-11.00,sec,3.59,MBytes,30.1,Mbits/sec,2600
11.00-12.00,sec,3.09,MBytes,25.9,Mbits/sec,2236
12.00-13.00,sec,3.66,MBytes,30.7,Mbits/sec,2652
13.00-14.00,sec,3.37,MBytes,28.3,Mbits/sec,2444
14.00-15.00,sec,3.7,MBytes,31,Mbits/sec,2678
15.00-16.00,sec,3.25,MBytes,27.3,Mbits/sec,2353
16.00-17.00,sec,3.56,MBytes,29.8,Mbits/sec,2575
17.00-18.00,sec,3.59,MBytes,30.1,Mbits/sec,2599
18.00-19.00,sec,3.21,MBytes,27,Mbits/sec,2327
19.00-20.00,sec,3.32,MBytes,27.9,Mbits/sec,2405
20.00-21.00,sec,3.63,MBytes,30.4,Mbits/sec,2626
21.00-22.00,sec,3.3,MBytes,27.7,Mbits/sec,2392
22.00-23.00,sec,3.09,MBytes,25.9,Mbits/sec,2236
23.00-24.00,sec,3.41,MBytes,28.6,Mbits/sec,2470
24.00-25.00,sec,3.61,MBytes,30.3,Mbits/sec,2614
25.00-26.00,sec,3.54,MBytes,29.7,Mbits/sec,2560
26.00-27.00,sec,3.57,MBytes,30,Mbits/sec,2587
27.00-28.00,sec,3.48,MBytes,29.2,Mbits/sec,2522
28.00-29.00,sec,3.31,MBytes,27.8,Mbits/sec,2397
29.00-30.00,sec,3.37,MBytes,28.3,Mbits/sec,2440
30.00-31.00,sec,3.41,MBytes,28.6,Mbits/sec,2469
31.00-32.00,sec,3.43,MBytes,28.8,Mbits/sec,2485
32.00-33.00,sec,3.66,MBytes,30.7,Mbits/sec,2650
33.00-34.00,sec,3.52,MBytes,29.5,Mbits/sec,2548
34.00-35.00,sec,3.24,MBytes,27.2,Mbits/sec,2346
35.00-36.00,sec,3.44,MBytes,28.8,Mbits/sec,2490
36.00-37.00,sec,2.89,MBytes,24.2,Mbits/sec,2093
37.00-38.00,sec,3.23,MBytes,27.1,Mbits/sec,2340
38.00-39.00,sec,3.2,MBytes,26.8,Mbits/sec,2314
39.00-40.00,sec,3.34,MBytes,28,Mbits/sec,2419
40.00-41.00,sec,3.57,MBytes,30,Mbits/sec,2587
41.00-42.00,sec,3.66,MBytes,30.7,Mbits/sec,2651
42.00-43.00,sec,3.23,MBytes,27.1,Mbits/sec,2340
43.00-44.00,sec,3.54,MBytes,29.7,Mbits/sec,2561
44.00-45.00,sec,3.3,MBytes,27.7,Mbits/sec,2392
45.00-46.00,sec,3.16,MBytes,26.5,Mbits/sec,2288
46.00-47.00,sec,3.52,MBytes,29.5,Mbits/sec,2548
47.00-48.00,sec,3.39,MBytes,28.5,Mbits/sec,2457
48.00-49.00,sec,3.61,MBytes,30.3,Mbits/sec,2613
49.00-50.00,sec,3.48,MBytes,29.2,Mbits/sec,2523
50.00-51.00,sec,3.43,MBytes,28.8,Mbits/sec,2482
51.00-52.00,sec,3.25,MBytes,27.3,Mbits/sec,2353
52.00-53.00,sec,3.57,MBytes,30,Mbits/sec,2587
53.00-54.00,sec,3.18,MBytes,26.7,Mbits/sec,2302
54.00-55.00,sec,3.41,MBytes,28.6,Mbits/sec,2469
55.00-56.00,sec,3.23,MBytes,27.1,Mbits/sec,2341
56.00-57.00,sec,3.54,MBytes,29.7,Mbits/sec,2562
57.00-58.00,sec,3.26,MBytes,27.4,Mbits/sec,2364
58.00-59.00,sec,2.93,MBytes,24.5,Mbits/sec,2119
59.00-60.00,sec,3.2,MBytes,26.8,Mbits/sec,2314
60.00-61.00,sec,3.29,MBytes,27.6,Mbits/sec,2379
61.00-62.00,sec,3.52,MBytes,29.5,Mbits/sec,2548
62.00-63.00,sec,3.46,MBytes,29.1,Mbits/sec,2509
63.00-64.00,sec,2.85,MBytes,23.9,Mbits/sec,2067
64.00-65.00,sec,3.34,MBytes,28,Mbits/sec,2418
65.00-66.00,sec,3.11,MBytes,26.1,Mbits/sec,2249
66.00-67.00,sec,2.51,MBytes,21.1,Mbits/sec,1820
67.00-68.00,sec,2.8,MBytes,23.5,Mbits/sec,2028
68.00-69.00,sec,3.34,MBytes,28,Mbits/sec,2418
69.00-70.00,sec,2.17,MBytes,18.2,Mbits/sec,1573
70.00-71.00,sec,2.5,MBytes,20.9,Mbits/sec,1807
71.00-72.00,sec,2.46,MBytes,20.6,Mbits/sec,1781
72.00-73.00,sec,2.75,MBytes,23,Mbits/sec,1989
73.00-74.00,sec,3.14,MBytes,26.4,Mbits/sec,2276
74.00-75.00,sec,3.43,MBytes,28.8,Mbits/sec,2482
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
