Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,2.37,MBytes,19.9,Mbits/sec,0.651,ms,0/1716,0%
1.00-2.00,sec,3.62,MBytes,30.4,Mbits/sec,0.455,ms,0/2623,0%
2.00-3.00,sec,3.53,MBytes,29.6,Mbits/sec,0.611,ms,0/2553,0%
3.00-4.00,sec,3.45,MBytes,28.9,Mbits/sec,0.683,ms,0/2498,0%
4.00-5.00,sec,3.42,MBytes,28.6,Mbits/sec,0.569,ms,0/2473,0%
5.00-6.00,sec,3.27,MBytes,27.4,Mbits/sec,0.772,ms,0/2365,0%
6.00-7.00,sec,3.43,MBytes,28.8,Mbits/sec,0.507,ms,0/2486,0%
7.00-8.00,sec,3.27,MBytes,27.4,Mbits/sec,0.644,ms,0/2365,0%
8.00-9.00,sec,3.25,MBytes,27.2,Mbits/sec,0.591,ms,0/2351,0%
9.00-10.00,sec,3.12,MBytes,26.2,Mbits/sec,1.718,ms,0/2259,0%
10.00-11.00,sec,3.11,MBytes,26.1,Mbits/sec,0.636,ms,0/2251,0%
11.00-12.00,sec,2.86,MBytes,24,Mbits/sec,1.003,ms,0/2069,0%
12.00-13.00,sec,3.15,MBytes,26.4,Mbits/sec,0.74,ms,0/2281,0%
13.00-14.00,sec,2.97,MBytes,24.9,Mbits/sec,0.776,ms,0/2152,0%
14.00-15.00,sec,3.02,MBytes,25.3,Mbits/sec,0.628,ms,0/2184,0%
15.00-16.00,sec,3.18,MBytes,26.7,Mbits/sec,0.943,ms,0/2304,0%
16.00-17.00,sec,2.9,MBytes,24.3,Mbits/sec,1.145,ms,0/2099,0%
17.00-18.00,sec,2.94,MBytes,24.7,Mbits/sec,0.735,ms,0/2129,0%
18.00-19.00,sec,2.81,MBytes,23.5,Mbits/sec,2.083,ms,0/2032,0%
19.00-20.00,sec,2.87,MBytes,24.1,Mbits/sec,0.723,ms,0/2077,0%
20.00-21.00,sec,2.84,MBytes,23.8,Mbits/sec,0.911,ms,0/2056,0%
21.00-22.00,sec,2.94,MBytes,24.7,Mbits/sec,0.711,ms,0/2130,0%
