-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.2.4, port 52522
[  5] local 192.168.2.1 port 5201 connected to 192.168.2.4 port 53974
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  2.61 MBytes  21.9 Mbits/sec  0.723 ms  0/1893 (0%)  
[  5]   1.00-2.00   sec  2.07 MBytes  17.4 Mbits/sec  1.141 ms  0/1499 (0%)  
[  5]   2.00-3.00   sec  1.99 MBytes  16.7 Mbits/sec  1.269 ms  0/1442 (0%)  
[  5]   3.00-4.00   sec  1.99 MBytes  16.7 Mbits/sec  1.127 ms  0/1443 (0%)  
[  5]   4.00-5.00   sec  1.97 MBytes  16.6 Mbits/sec  1.177 ms  0/1430 (0%)  
[  5]   5.00-6.00   sec  1.99 MBytes  16.7 Mbits/sec  1.125 ms  0/1443 (0%)  
[  5]   6.00-7.00   sec  2.01 MBytes  16.9 Mbits/sec  1.028 ms  0/1456 (0%)  
[  5]   7.00-8.00   sec  2.00 MBytes  16.8 Mbits/sec  1.405 ms  0/1449 (0%)  
[  5]   8.00-9.00   sec  2.00 MBytes  16.8 Mbits/sec  1.122 ms  0/1450 (0%)  
[  5]   9.00-10.00  sec  2.01 MBytes  16.9 Mbits/sec  1.075 ms  0/1456 (0%)  
[  5]  10.00-11.00  sec  2.00 MBytes  16.8 Mbits/sec  1.335 ms  0/1450 (0%)  
[  5]  11.00-12.00  sec  1.98 MBytes  16.6 Mbits/sec  1.220 ms  0/1434 (0%)  
[  5]  12.00-13.00  sec  1.97 MBytes  16.6 Mbits/sec  1.105 ms  0/1430 (0%)  
[  5]  13.00-14.00  sec  2.00 MBytes  16.8 Mbits/sec  1.431 ms  0/1450 (0%)  
[  5]  14.00-15.00  sec  2.00 MBytes  16.8 Mbits/sec  1.110 ms  0/1451 (0%)  
[  5]  15.00-16.00  sec  2.01 MBytes  16.9 Mbits/sec  0.971 ms  0/1455 (0%)  
