edge_name,unix_timestamp,percentage_cpu_utilisation
edge4,1631657358.257564,2.3
edge4,1631657361.2709062,3.2
edge4,1631657364.4467063,2.7
edge4,1631657367.4590383,4.2
edge4,1631657370.4734702,1.6
edge4,1631657373.5245283,4.9
edge4,1631657376.6245246,3.4
edge4,1631657379.6489055,4.5
edge4,1631657382.6656103,3.7
edge4,1631657385.6803014,3.7
edge4,1631657388.6973681,5.7
edge4,1631657391.7185993,2.4
edge4,1631657394.7728822,3.9
edge4,1631657397.7856443,3.2
edge4,1631657400.7984624,4.7
edge4,1631657403.8275745,3.9
edge4,1631657406.8339953,3.6
edge4,1631657409.859012,5.6
edge4,1631657412.8661742,5.1
edge4,1631657415.9024482,5.4
edge4,1631657418.9436898,4.1
edge4,1631657421.9500358,5.6
edge4,1631657424.969821,3.1
edge4,1631657427.9881928,4.9
edge4,1631657431.0044813,4.6
edge4,1631657434.0111914,0.0
edge4,1631657437.0201569,0.5
edge4,1631657440.0269578,0.8
edge4,1631657443.0336869,0.5
edge4,1631657446.040668,0.3
edge4,1631657449.0474784,0.3
