Interval,,Tran,sfer,Bitr,ate,Total Datagrams
0.00-1.00,sec,1.67,MBytes,14,Mbits/sec,1208
1.00-2.00,sec,1.67,MBytes,14,Mbits/sec,1209
2.00-3.00,sec,1.67,MBytes,14,Mbits/sec,1208
3.00-4.00,sec,1.67,MBytes,14,Mbits/sec,1209
4.00-5.00,sec,1.67,MBytes,14,Mbits/sec,1208
5.00-6.00,sec,1.67,MBytes,14,Mbits/sec,1209
6.00-7.00,sec,1.67,MBytes,14,Mbits/sec,1208
7.00-8.00,sec,1.67,MBytes,14,Mbits/sec,1209
8.00-9.00,sec,1.67,MBytes,14,Mbits/sec,1208
9.00-10.00,sec,1.67,MBytes,14,Mbits/sec,1209
10.00-11.00,sec,1.67,MBytes,14,Mbits/sec,1209
11.00-12.00,sec,1.67,MBytes,14,Mbits/sec,1208
12.00-13.00,sec,1.67,MBytes,14,Mbits/sec,1209
13.00-14.00,sec,1.67,MBytes,14,Mbits/sec,1208
14.00-15.00,sec,1.67,MBytes,14,Mbits/sec,1209
15.00-16.00,sec,1.67,MBytes,14,Mbits/sec,1208
16.00-17.00,sec,1.67,MBytes,14,Mbits/sec,1209
17.00-18.00,sec,1.67,MBytes,14,Mbits/sec,1209
18.00-19.00,sec,1.67,MBytes,14,Mbits/sec,1208
19.00-20.00,sec,1.67,MBytes,14,Mbits/sec,1209
20.00-21.00,sec,1.67,MBytes,14,Mbits/sec,1208
21.00-22.00,sec,1.67,MBytes,14,Mbits/sec,1209
22.00-23.00,sec,1.67,MBytes,14,Mbits/sec,1208
23.00-24.00,sec,1.67,MBytes,14,Mbits/sec,1209
24.00-25.00,sec,1.67,MBytes,14,Mbits/sec,1209
25.00-26.00,sec,1.67,MBytes,14,Mbits/sec,1208
26.00-27.00,sec,1.67,MBytes,14,Mbits/sec,1209
27.00-28.00,sec,1.67,MBytes,14,Mbits/sec,1208
28.00-29.00,sec,1.67,MBytes,14,Mbits/sec,1209
29.00-30.00,sec,1.67,MBytes,14,Mbits/sec,1208
30.00-31.00,sec,1.67,MBytes,14,Mbits/sec,1209
31.00-32.00,sec,1.67,MBytes,14,Mbits/sec,1208
32.00-33.00,sec,1.67,MBytes,14,Mbits/sec,1209
33.00-34.00,sec,1.67,MBytes,14,Mbits/sec,1209
34.00-35.00,sec,1.67,MBytes,14,Mbits/sec,1208
35.00-36.00,sec,1.67,MBytes,14,Mbits/sec,1209
36.00-37.00,sec,1.67,MBytes,14,Mbits/sec,1208
37.00-38.00,sec,1.67,MBytes,14,Mbits/sec,1209
38.00-39.00,sec,1.67,MBytes,14,Mbits/sec,1208
39.00-40.00,sec,1.67,MBytes,14,Mbits/sec,1209
40.00-41.00,sec,1.67,MBytes,14,Mbits/sec,1209
41.00-42.00,sec,1.67,MBytes,14,Mbits/sec,1208
42.00-43.00,sec,1.67,MBytes,14,Mbits/sec,1209
43.00-44.00,sec,1.67,MBytes,14,Mbits/sec,1208
44.00-45.00,sec,1.67,MBytes,14,Mbits/sec,1209
45.00-46.00,sec,1.67,MBytes,14,Mbits/sec,1208
46.00-47.00,sec,1.67,MBytes,14,Mbits/sec,1209
47.00-48.00,sec,1.67,MBytes,14,Mbits/sec,1208
48.00-49.00,sec,1.67,MBytes,14,Mbits/sec,1209
49.00-50.00,sec,1.67,MBytes,14,Mbits/sec,1209
50.00-51.00,sec,1.67,MBytes,14,Mbits/sec,1208
51.00-52.00,sec,1.67,MBytes,14,Mbits/sec,1209
52.00-53.00,sec,1.67,MBytes,14,Mbits/sec,1208
53.00-54.00,sec,1.67,MBytes,14,Mbits/sec,1209
54.00-55.00,sec,1.67,MBytes,14,Mbits/sec,1208
55.00-56.00,sec,1.67,MBytes,14,Mbits/sec,1209
56.00-57.00,sec,1.67,MBytes,14,Mbits/sec,1209
57.00-58.00,sec,1.67,MBytes,14,Mbits/sec,1208
58.00-59.00,sec,1.67,MBytes,14,Mbits/sec,1209
59.00-60.00,sec,1.67,MBytes,14,Mbits/sec,1208
60.00-61.00,sec,1.67,MBytes,14,Mbits/sec,1209
61.00-62.00,sec,1.67,MBytes,14,Mbits/sec,1208
62.00-63.00,sec,1.67,MBytes,14,Mbits/sec,1209
63.00-64.00,sec,1.67,MBytes,14,Mbits/sec,1208
64.00-65.00,sec,1.67,MBytes,14,Mbits/sec,1209
65.00-66.00,sec,1.67,MBytes,14,Mbits/sec,1209
66.00-67.00,sec,1.67,MBytes,14,Mbits/sec,1208
67.00-68.00,sec,1.67,MBytes,14,Mbits/sec,1209
68.00-69.00,sec,1.67,MBytes,14,Mbits/sec,1208
69.00-70.00,sec,1.67,MBytes,14,Mbits/sec,1209
70.00-71.00,sec,1.67,MBytes,14,Mbits/sec,1208
71.00-72.00,sec,1.67,MBytes,14,Mbits/sec,1209
72.00-73.00,sec,1.67,MBytes,14,Mbits/sec,1209
73.00-74.00,sec,1.67,MBytes,14,Mbits/sec,1208
74.00-75.00,sec,1.67,MBytes,14,Mbits/sec,1209
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Tran,sfer,Bitr,ate,Jitter    Lost/Total Datagrams
0.00-75.00,sec,125,MBytes,14,Mbits/sec,0.000 ms  0/90642 (0%)  sender
0.00-75.00,sec,125,MBytes,14,Mbits/sec,0.647 ms  0/90641 (0%)  receiver
,,,,,,
Done.,,,,,,
