edge_name,unix_timestamp,percentage_cpu_utilisation
edge5,1631686799.7349675,0.8
edge5,1631686802.7528515,24.1
edge5,1631686805.766592,22.2
edge5,1631686808.7753696,27.0
edge5,1631686811.783076,26.2
edge5,1631686814.7927854,26.2
edge5,1631686817.80009,25.9
edge5,1631686820.8082874,24.6
edge5,1631686823.8173678,25.9
edge5,1631686826.8285413,22.6
edge5,1631686829.8374577,25.7
edge5,1631686832.8458421,27.7
edge5,1631686835.852726,26.9
edge5,1631686838.8680198,23.6
edge5,1631686841.874529,24.4
edge5,1631686844.9069927,25.9
edge5,1631686847.9147375,21.6
edge5,1631686850.9327927,21.3
edge5,1631686853.9703689,21.0
edge5,1631686856.980095,21.7
edge5,1631686859.9871695,19.3
edge5,1631686862.9940727,23.4
edge5,1631686866.009707,22.6
edge5,1631686869.0161123,19.8
edge5,1631686872.0254085,21.2
edge5,1631686875.0354996,20.8
edge5,1631686878.042917,0.5
edge5,1631686881.0502064,1.0
edge5,1631686884.057382,1.7
