-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.2.4, port 50918
[  5] local 192.168.2.5 port 5201 connected to 192.168.2.4 port 39804
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec   973 KBytes  7.97 Mbits/sec  0.456 ms  0/688 (0%)  
[  5]   1.00-2.00   sec   977 KBytes  8.00 Mbits/sec  0.348 ms  0/691 (0%)  
[  5]   2.00-3.00   sec   977 KBytes  8.00 Mbits/sec  0.461 ms  0/691 (0%)  
[  5]   3.00-4.00   sec   976 KBytes  7.99 Mbits/sec  0.432 ms  0/690 (0%)  
[  5]   4.00-5.00   sec   979 KBytes  8.02 Mbits/sec  0.468 ms  0/692 (0%)  
[  5]   5.00-6.00   sec   974 KBytes  7.98 Mbits/sec  0.292 ms  0/689 (0%)  
[  5]   6.00-7.00   sec   977 KBytes  8.00 Mbits/sec  0.305 ms  0/691 (0%)  
[  5]   7.00-8.00   sec   977 KBytes  8.00 Mbits/sec  0.342 ms  0/691 (0%)  
[  5]   8.00-9.00   sec   976 KBytes  7.99 Mbits/sec  0.444 ms  0/690 (0%)  
[  5]   9.00-10.00  sec   977 KBytes  8.00 Mbits/sec  0.375 ms  0/691 (0%)  
[  5]  10.00-11.00  sec   976 KBytes  7.99 Mbits/sec  0.291 ms  0/690 (0%)  
[  5]  11.00-12.00  sec   977 KBytes  8.00 Mbits/sec  0.312 ms  0/691 (0%)  
[  5]  12.00-13.00  sec   977 KBytes  8.00 Mbits/sec  0.368 ms  0/691 (0%)  
[  5]  13.00-14.00  sec   976 KBytes  7.99 Mbits/sec  0.363 ms  0/690 (0%)  
[  5]  14.00-15.00  sec   977 KBytes  8.00 Mbits/sec  0.355 ms  0/691 (0%)  
[  5]  15.00-16.00  sec   977 KBytes  8.00 Mbits/sec  0.356 ms  0/691 (0%)  
[  5]  16.00-17.00  sec   976 KBytes  7.99 Mbits/sec  0.336 ms  0/690 (0%)  
[  5]  17.00-18.00  sec   977 KBytes  8.00 Mbits/sec  0.447 ms  0/691 (0%)  
[  5]  18.00-19.00  sec   976 KBytes  7.99 Mbits/sec  0.390 ms  0/690 (0%)  
[  5]  19.00-20.00  sec   977 KBytes  8.00 Mbits/sec  0.364 ms  0/691 (0%)  
[  5]  20.00-21.00  sec   977 KBytes  8.00 Mbits/sec  0.390 ms  0/691 (0%)  
[  5]  21.00-22.00  sec   977 KBytes  8.00 Mbits/sec  0.433 ms  0/691 (0%)  
[  5]  22.00-23.00  sec   976 KBytes  7.99 Mbits/sec  0.309 ms  0/690 (0%)  
[  5]  23.00-24.00  sec   976 KBytes  7.99 Mbits/sec  0.335 ms  0/690 (0%)  
[  5]  24.00-25.00  sec   977 KBytes  8.00 Mbits/sec  0.334 ms  0/691 (0%)  
[  5]  25.00-26.00  sec   977 KBytes  8.00 Mbits/sec  0.450 ms  0/691 (0%)  
[  5]  26.00-27.00  sec   976 KBytes  7.99 Mbits/sec  0.360 ms  0/690 (0%)  
[  5]  27.00-28.00  sec   979 KBytes  8.02 Mbits/sec  0.323 ms  0/692 (0%)  
[  5]  28.00-29.00  sec   974 KBytes  7.98 Mbits/sec  0.336 ms  0/689 (0%)  
[  5]  29.00-30.00  sec   977 KBytes  8.00 Mbits/sec  0.317 ms  0/691 (0%)  
[  5]  30.00-31.00  sec   977 KBytes  8.00 Mbits/sec  0.334 ms  0/691 (0%)  
[  5]  31.00-32.00  sec   976 KBytes  7.99 Mbits/sec  0.371 ms  0/690 (0%)  
[  5]  32.00-33.00  sec   979 KBytes  8.02 Mbits/sec  0.439 ms  0/692 (0%)  
[  5]  33.00-34.00  sec   974 KBytes  7.98 Mbits/sec  0.575 ms  0/689 (0%)  
[  5]  34.00-35.00  sec   977 KBytes  8.00 Mbits/sec  0.420 ms  0/691 (0%)  
[  5]  35.00-36.00  sec   977 KBytes  8.00 Mbits/sec  0.495 ms  0/691 (0%)  
[  5]  36.00-37.00  sec   976 KBytes  7.99 Mbits/sec  0.369 ms  0/690 (0%)  
[  5]  37.00-38.00  sec   977 KBytes  8.00 Mbits/sec  0.457 ms  0/691 (0%)  
[  5]  38.00-39.00  sec   977 KBytes  8.00 Mbits/sec  0.587 ms  0/691 (0%)  
[  5]  39.00-40.00  sec   976 KBytes  7.99 Mbits/sec  0.263 ms  0/690 (0%)  
[  5]  40.00-41.00  sec   977 KBytes  8.00 Mbits/sec  0.308 ms  0/691 (0%)  
[  5]  41.00-42.00  sec   976 KBytes  7.99 Mbits/sec  0.414 ms  0/690 (0%)  
[  5]  42.00-43.00  sec   977 KBytes  8.00 Mbits/sec  0.439 ms  0/691 (0%)  
[  5]  43.00-44.00  sec   977 KBytes  8.00 Mbits/sec  0.365 ms  0/691 (0%)  
[  5]  44.00-45.00  sec   976 KBytes  7.99 Mbits/sec  0.303 ms  0/690 (0%)  
[  5]  45.00-46.00  sec   977 KBytes  8.00 Mbits/sec  0.514 ms  0/691 (0%)  
[  5]  46.00-47.00  sec   976 KBytes  7.99 Mbits/sec  0.351 ms  0/690 (0%)  
[  5]  47.00-48.00  sec   977 KBytes  8.00 Mbits/sec  0.519 ms  0/691 (0%)  
[  5]  48.00-49.00  sec   977 KBytes  8.00 Mbits/sec  0.332 ms  0/691 (0%)  
[  5]  49.00-50.00  sec   976 KBytes  7.99 Mbits/sec  0.320 ms  0/690 (0%)  
[  5]  50.00-51.00  sec   977 KBytes  8.00 Mbits/sec  0.294 ms  0/691 (0%)  
[  5]  51.00-52.00  sec   976 KBytes  7.99 Mbits/sec  0.456 ms  0/690 (0%)  
[  5]  52.00-53.00  sec   977 KBytes  8.00 Mbits/sec  0.342 ms  0/691 (0%)  
[  5]  53.00-54.00  sec   977 KBytes  8.00 Mbits/sec  0.359 ms  0/691 (0%)  
[  5]  54.00-55.00  sec   976 KBytes  7.99 Mbits/sec  0.343 ms  0/690 (0%)  
[  5]  55.00-56.00  sec   977 KBytes  8.00 Mbits/sec  0.282 ms  0/691 (0%)  
[  5]  56.00-57.00  sec   976 KBytes  7.99 Mbits/sec  0.286 ms  0/690 (0%)  
[  5]  57.00-58.00  sec   977 KBytes  8.00 Mbits/sec  0.316 ms  0/691 (0%)  
[  5]  58.00-59.00  sec   977 KBytes  8.00 Mbits/sec  0.342 ms  0/691 (0%)  
[  5]  59.00-60.00  sec   976 KBytes  7.99 Mbits/sec  0.397 ms  0/690 (0%)  
[  5]  60.00-61.00  sec   977 KBytes  8.00 Mbits/sec  0.402 ms  0/691 (0%)  
[  5]  61.00-62.00  sec   976 KBytes  7.99 Mbits/sec  0.283 ms  0/690 (0%)  
[  5]  62.00-63.00  sec   977 KBytes  8.00 Mbits/sec  0.313 ms  0/691 (0%)  
[  5]  63.00-64.00  sec   977 KBytes  8.00 Mbits/sec  0.409 ms  0/691 (0%)  
[  5]  64.00-65.00  sec   976 KBytes  7.99 Mbits/sec  0.475 ms  0/690 (0%)  
[  5]  65.00-66.00  sec   977 KBytes  8.00 Mbits/sec  0.377 ms  0/691 (0%)  
[  5]  66.00-67.00  sec   977 KBytes  8.00 Mbits/sec  0.316 ms  0/691 (0%)  
[  5]  67.00-68.00  sec   976 KBytes  7.99 Mbits/sec  0.341 ms  0/690 (0%)  
[  5]  68.00-69.00  sec   977 KBytes  8.00 Mbits/sec  0.391 ms  0/691 (0%)  
[  5]  69.00-70.00  sec   976 KBytes  7.99 Mbits/sec  0.310 ms  0/690 (0%)  
[  5]  70.00-71.00  sec   977 KBytes  8.00 Mbits/sec  0.357 ms  0/691 (0%)  
[  5]  71.00-72.00  sec   977 KBytes  8.00 Mbits/sec  0.454 ms  0/691 (0%)  
[  5]  72.00-73.00  sec   977 KBytes  8.00 Mbits/sec  0.390 ms  0/691 (0%)  
[  5]  73.00-74.00  sec   976 KBytes  7.99 Mbits/sec  0.310 ms  0/690 (0%)  
[  5]  74.00-75.00  sec   976 KBytes  7.99 Mbits/sec  0.657 ms  0/690 (0%)  
[  5]  75.00-75.00  sec  2.83 KBytes  6.46 Mbits/sec  0.699 ms  0/2 (0%)  
