-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.2.4, port 34778
[  5] local 192.168.2.1 port 5201 connected to 192.168.2.4 port 37753
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  1.19 MBytes  9.96 Mbits/sec  0.780 ms  0/860 (0%)  
[  5]   1.00-2.00   sec  1.19 MBytes  10.0 Mbits/sec  0.603 ms  0/863 (0%)  
[  5]   2.00-3.00   sec  1.18 MBytes  9.92 Mbits/sec  1.193 ms  0/856 (0%)  
[  5]   3.00-4.00   sec  1.20 MBytes  10.1 Mbits/sec  0.624 ms  0/871 (0%)  
[  5]   4.00-5.00   sec  1.19 MBytes  10.0 Mbits/sec  0.750 ms  0/863 (0%)  
[  5]   5.00-6.00   sec  1.19 MBytes  9.99 Mbits/sec  1.143 ms  0/863 (0%)  
[  5]   6.00-7.00   sec  1.19 MBytes  10.0 Mbits/sec  0.715 ms  0/863 (0%)  
[  5]   7.00-8.00   sec  1.19 MBytes  9.99 Mbits/sec  0.745 ms  0/862 (0%)  
[  5]   8.00-9.00   sec  1.18 MBytes  9.86 Mbits/sec  1.449 ms  0/851 (0%)  
[  5]   9.00-10.00  sec  1.21 MBytes  10.2 Mbits/sec  0.740 ms  0/878 (0%)  
[  5]  10.00-11.00  sec  1.19 MBytes  10.0 Mbits/sec  0.780 ms  0/863 (0%)  
[  5]  11.00-12.00  sec  1.19 MBytes  9.97 Mbits/sec  0.580 ms  0/861 (0%)  
[  5]  12.00-13.00  sec  1.19 MBytes  10.0 Mbits/sec  0.557 ms  0/865 (0%)  
[  5]  13.00-14.00  sec  1.19 MBytes  10.0 Mbits/sec  0.671 ms  0/864 (0%)  
[  5]  14.00-15.00  sec  1.19 MBytes  10.0 Mbits/sec  0.565 ms  0/863 (0%)  
[  5]  15.00-16.00  sec  1.19 MBytes  9.99 Mbits/sec  0.638 ms  0/862 (0%)  
[  5]  16.00-17.00  sec  1.19 MBytes  10.0 Mbits/sec  0.518 ms  0/864 (0%)  
[  5]  17.00-18.00  sec  1.19 MBytes  10.0 Mbits/sec  0.582 ms  0/863 (0%)  
[  5]  18.00-19.00  sec  1.19 MBytes  10.0 Mbits/sec  0.728 ms  0/864 (0%)  
[  5]  19.00-20.00  sec  1.19 MBytes  10.0 Mbits/sec  0.842 ms  0/863 (0%)  
[  5]  20.00-21.00  sec  1.19 MBytes  10.0 Mbits/sec  0.540 ms  0/864 (0%)  
[  5]  21.00-22.00  sec  1.19 MBytes  9.98 Mbits/sec  0.670 ms  0/862 (0%)  
[  5]  22.00-23.00  sec  1.19 MBytes  10.0 Mbits/sec  0.674 ms  0/864 (0%)  
[  5]  23.00-24.00  sec  1.19 MBytes  10.0 Mbits/sec  0.802 ms  0/863 (0%)  
[  5]  24.00-25.00  sec  1.19 MBytes  10.0 Mbits/sec  0.621 ms  0/863 (0%)  
[  5]  25.00-26.00  sec  1.19 MBytes  9.97 Mbits/sec  0.783 ms  0/863 (0%)  
[  5]  26.00-27.00  sec  1.19 MBytes  10.0 Mbits/sec  0.939 ms  0/864 (0%)  
[  5]  27.00-28.00  sec  1.19 MBytes  10.0 Mbits/sec  0.631 ms  0/863 (0%)  
[  5]  28.00-29.00  sec  1.19 MBytes  9.99 Mbits/sec  0.679 ms  0/862 (0%)  
[  5]  29.00-30.00  sec  1.19 MBytes  9.98 Mbits/sec  0.669 ms  0/864 (0%)  
[  5]  30.00-31.00  sec  1.19 MBytes  10.0 Mbits/sec  0.757 ms  0/863 (0%)  
[  5]  31.00-32.00  sec  1.19 MBytes  10.0 Mbits/sec  0.806 ms  0/864 (0%)  
[  5]  32.00-33.00  sec  1.19 MBytes  10.0 Mbits/sec  0.707 ms  0/863 (0%)  
[  5]  33.00-34.00  sec  1.19 MBytes  10.0 Mbits/sec  0.610 ms  0/863 (0%)  
[  5]  34.00-35.00  sec  1.19 MBytes  9.99 Mbits/sec  0.797 ms  0/862 (0%)  
[  5]  35.00-36.00  sec  1.19 MBytes  10.0 Mbits/sec  0.593 ms  0/865 (0%)  
[  5]  36.00-37.00  sec  1.19 MBytes  10.0 Mbits/sec  0.777 ms  0/864 (0%)  
[  5]  37.00-38.00  sec  1.19 MBytes  9.97 Mbits/sec  0.536 ms  0/861 (0%)  
[  5]  38.00-39.00  sec  1.19 MBytes  10.0 Mbits/sec  0.851 ms  0/865 (0%)  
[  5]  39.00-40.00  sec  1.19 MBytes  9.99 Mbits/sec  0.714 ms  0/862 (0%)  
[  5]  40.00-41.00  sec  1.19 MBytes  10.0 Mbits/sec  0.868 ms  0/864 (0%)  
[  5]  41.00-42.00  sec  1.19 MBytes  10.0 Mbits/sec  0.758 ms  0/864 (0%)  
[  5]  42.00-43.00  sec  1.19 MBytes  9.99 Mbits/sec  0.469 ms  0/862 (0%)  
[  5]  43.00-44.00  sec  1.19 MBytes  9.99 Mbits/sec  0.935 ms  0/862 (0%)  
[  5]  44.00-45.00  sec  1.19 MBytes  10.0 Mbits/sec  0.692 ms  0/865 (0%)  
[  5]  45.00-46.00  sec  1.19 MBytes  10.0 Mbits/sec  0.642 ms  0/864 (0%)  
[  5]  46.00-47.00  sec  1.19 MBytes  9.99 Mbits/sec  0.563 ms  0/862 (0%)  
[  5]  47.00-48.00  sec  1.19 MBytes  10.0 Mbits/sec  0.805 ms  0/865 (0%)  
[  5]  48.00-49.00  sec  1.19 MBytes  10.0 Mbits/sec  0.619 ms  0/863 (0%)  
[  5]  49.00-50.00  sec  1.19 MBytes  10.0 Mbits/sec  0.625 ms  0/863 (0%)  
[  5]  50.00-51.00  sec  1.19 MBytes  9.99 Mbits/sec  0.459 ms  0/862 (0%)  
[  5]  51.00-52.00  sec  1.19 MBytes  9.97 Mbits/sec  0.965 ms  0/861 (0%)  
[  5]  52.00-53.00  sec  1.20 MBytes  10.0 Mbits/sec  0.655 ms  0/867 (0%)  
[  5]  53.00-54.00  sec  1.19 MBytes  9.99 Mbits/sec  0.740 ms  0/862 (0%)  
[  5]  54.00-55.00  sec  1.19 MBytes  10.0 Mbits/sec  0.632 ms  0/864 (0%)  
[  5]  55.00-56.00  sec  1.19 MBytes  10.0 Mbits/sec  0.616 ms  0/863 (0%)  
[  5]  56.00-57.00  sec  1.19 MBytes  10.0 Mbits/sec  0.627 ms  0/864 (0%)  
[  5]  57.00-58.00  sec  1.19 MBytes  10.0 Mbits/sec  0.690 ms  0/863 (0%)  
[  5]  58.00-59.00  sec  1.19 MBytes  10.0 Mbits/sec  1.046 ms  0/863 (0%)  
[  5]  59.00-60.00  sec  1.19 MBytes  10.0 Mbits/sec  0.621 ms  0/863 (0%)  
[  5]  60.00-61.00  sec  1.19 MBytes  9.99 Mbits/sec  0.642 ms  0/862 (0%)  
[  5]  61.00-62.00  sec  1.19 MBytes  10.0 Mbits/sec  0.690 ms  0/864 (0%)  
[  5]  62.00-63.00  sec  1.19 MBytes  10.0 Mbits/sec  0.870 ms  0/864 (0%)  
[  5]  63.00-64.00  sec  1.16 MBytes  9.75 Mbits/sec  0.768 ms  0/842 (0%)  
[  5]  64.00-65.00  sec  1.22 MBytes  10.2 Mbits/sec  0.878 ms  0/884 (0%)  
[  5]  64.00-65.00  sec  1.22 MBytes  10.2 Mbits/sec  0.878 ms  0/884 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-65.00  sec  78.2 MBytes  10.1 Mbits/sec  1.137 ms  0/56631 (0%)  receiver
-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
