[,ID],Interval,,Tran,sfer,Bitr,ate,Jitte,r,Lost/,Total Datagrams
[,5],0.00-1.00,sec,864,KBytes,7.08,Mbits/sec,1.564,ms,0/611,0%
[,5],1.00-2.00,sec,1.02,MBytes,8.58,Mbits/sec,2.009,ms,0/741,0%
[,5],2.00-3.00,sec,1.2,MBytes,10.1,Mbits/sec,2.464,ms,0/871,0%
[,5],3.00-4.00,sec,700,KBytes,5.73,Mbits/sec,3.331,ms,0/495,0%
[,5],4.00-5.00,sec,716,KBytes,5.86,Mbits/sec,2.902,ms,0/506,0%
[,5],5.00-6.00,sec,704,KBytes,5.77,Mbits/sec,2.442,ms,0/498,0%
[,5],6.00-7.00,sec,928,KBytes,7.6,Mbits/sec,5.147,ms,0/656,0%
[,5],7.00-8.00,sec,1.08,MBytes,9.07,Mbits/sec,2.032,ms,0/783,0%
[,5],8.00-9.00,sec,1.06,MBytes,8.86,Mbits/sec,2.411,ms,0/765,0%
[,5],9.00-10.00,sec,959,KBytes,7.85,Mbits/sec,1.852,ms,0/678,0%
[,5],10.00-11.00,sec,1.01,MBytes,8.43,Mbits/sec,1.803,ms,0/728,0%
[,5],11.00-12.00,sec,928,KBytes,7.6,Mbits/sec,3.424,ms,0/656,0%
[,5],12.00-13.00,sec,971,KBytes,7.96,Mbits/sec,1.636,ms,0/687,0%
[,5],13.00-14.00,sec,669,KBytes,5.48,Mbits/sec,2.25,ms,0/473,0%
[,5],14.00-15.00,sec,731,KBytes,5.99,Mbits/sec,2.917,ms,0/517,0%
[,5],15.00-16.00,sec,947,KBytes,7.76,Mbits/sec,5.073,ms,0/670,0%
[,5],16.00-17.00,sec,766,KBytes,6.28,Mbits/sec,3.17,ms,0/542,0%
[,5],17.00-18.00,sec,731,KBytes,5.99,Mbits/sec,2.733,ms,0/517,0%
[,5],18.00-19.00,sec,930,KBytes,7.62,Mbits/sec,2.42,ms,0/658,0%
[,5],19.00-20.00,sec,485,KBytes,3.97,Mbits/sec,11.23,6 ms,0/34,3 (0%)
[,5],20.00-21.00,sec,352,KBytes,2.88,Mbits/sec,4.002,ms,0/249,0%
[,5],21.00-22.00,sec,926,KBytes,7.59,Mbits/sec,2.299,ms,0/655,0%
[,5],22.00-23.00,sec,737,KBytes,6.03,Mbits/sec,3.971,ms,0/521,0%
[,5],23.00-24.00,sec,970,KBytes,7.95,Mbits/sec,2.296,ms,0/686,0%
[,5],24.00-25.00,sec,738,KBytes,6.05,Mbits/sec,2.033,ms,0/522,0%
[,5],25.00-26.00,sec,938,KBytes,7.68,Mbits/sec,4.086,ms,0/663,0%
[,5],26.00-27.00,sec,930,KBytes,7.62,Mbits/sec,4.2,ms,0/658,0%
[,5],27.00-28.00,sec,926,KBytes,7.59,Mbits/sec,2.548,ms,0/655,0%
[,5],28.00-29.00,sec,735,KBytes,6.02,Mbits/sec,3.317,ms,0/520,0%
[,5],29.00-30.00,sec,546,KBytes,4.47,Mbits/sec,2.935,ms,0/386,0%
