Connecting to host 192.168.2.1, port 5201
[  5] local 192.168.2.4 port 38892 connected to 192.168.2.1 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec   940 KBytes  7.70 Mbits/sec  665  
[  5]   1.00-2.00   sec   993 KBytes  8.13 Mbits/sec  702  
[  5]   2.00-3.00   sec  1.02 MBytes  8.58 Mbits/sec  741  
[  5]   3.00-4.00   sec  1.02 MBytes  8.58 Mbits/sec  741  
[  5]   4.00-5.00   sec  1.08 MBytes  9.04 Mbits/sec  780  
[  5]   5.00-6.00   sec  1.49 MBytes  12.5 Mbits/sec  1079  
[  5]   6.00-7.00   sec  1.13 MBytes  9.49 Mbits/sec  819  
[  5]   7.00-8.00   sec  1.01 MBytes  8.43 Mbits/sec  728  
[  5]   8.00-9.00   sec  1.08 MBytes  9.04 Mbits/sec  780  
[  5]   9.00-10.00  sec  1.09 MBytes  9.15 Mbits/sec  790  
[  5]  10.00-11.00  sec  1.01 MBytes  8.47 Mbits/sec  731  
[  5]  11.00-12.00  sec  1.13 MBytes  9.49 Mbits/sec  819  
[  5]  12.00-13.00  sec  1.22 MBytes  10.2 Mbits/sec  884  
[  5]  13.00-14.00  sec  1.38 MBytes  11.6 Mbits/sec  1001  
[  5]  14.00-15.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  15.00-16.00  sec  1.20 MBytes  10.1 Mbits/sec  871  
[  5]  16.00-17.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  17.00-18.00  sec  1.08 MBytes  9.04 Mbits/sec  780  
[  5]  18.00-19.00  sec   919 KBytes  7.53 Mbits/sec  650  
[  5]  19.00-20.00  sec  1.35 MBytes  11.3 Mbits/sec  975  
[  5]  20.00-21.00  sec  1.17 MBytes  9.79 Mbits/sec  845  
[  5]  21.00-22.00  sec  1.04 MBytes  8.73 Mbits/sec  754  
[  5]  22.00-23.00  sec  1.08 MBytes  9.04 Mbits/sec  780  
[  5]  23.00-24.00  sec   987 KBytes  8.09 Mbits/sec  698  
[  5]  24.00-25.00  sec  1.37 MBytes  11.5 Mbits/sec  992  
[  5]  25.00-26.00  sec  1.13 MBytes  9.49 Mbits/sec  819  
[  5]  26.00-27.00  sec  1.15 MBytes  9.64 Mbits/sec  832  
[  5]  27.00-28.00  sec  1.02 MBytes  8.58 Mbits/sec  741  
[  5]  28.00-29.00  sec  1.01 MBytes  8.43 Mbits/sec  728  
[  5]  29.00-30.00  sec  1.38 MBytes  11.6 Mbits/sec  1001  
[  5]  30.00-31.00  sec  1011 KBytes  8.28 Mbits/sec  715  
[  5]  31.00-32.00  sec  1.01 MBytes  8.43 Mbits/sec  728  
[  5]  32.00-33.00  sec  1011 KBytes  8.28 Mbits/sec  715  
[  5]  33.00-34.00  sec  1.06 MBytes  8.88 Mbits/sec  767  
[  5]  34.00-35.00  sec  1.08 MBytes  9.04 Mbits/sec  780  
[  5]  35.00-36.00  sec  1.02 MBytes  8.58 Mbits/sec  741  
[  5]  36.00-37.00  sec  1.11 MBytes  9.34 Mbits/sec  806  
[  5]  37.00-38.00  sec  1.20 MBytes  10.1 Mbits/sec  871  
[  5]  38.00-39.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  39.00-40.00  sec  1.10 MBytes  9.20 Mbits/sec  794  
[  5]  40.00-41.00  sec  1.15 MBytes  9.63 Mbits/sec  831  
[  5]  41.00-42.00  sec   938 KBytes  7.68 Mbits/sec  663  
[  5]  42.00-43.00  sec  1.04 MBytes  8.73 Mbits/sec  754  
[  5]  43.00-44.00  sec  1.04 MBytes  8.73 Mbits/sec  754  
[  5]  44.00-45.00  sec  1.02 MBytes  8.58 Mbits/sec  741  
[  5]  45.00-46.00  sec  1.06 MBytes  8.88 Mbits/sec  767  
[  5]  46.00-47.00  sec  1.17 MBytes  9.79 Mbits/sec  845  
[  5]  47.00-48.00  sec  1.11 MBytes  9.34 Mbits/sec  806  
[  5]  48.00-49.00  sec  1.17 MBytes  9.79 Mbits/sec  845  
[  5]  49.00-50.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  50.00-51.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  51.00-52.00  sec   993 KBytes  8.13 Mbits/sec  702  
[  5]  52.00-53.00  sec  1.15 MBytes  9.64 Mbits/sec  832  
[  5]  53.00-54.00  sec  1.20 MBytes  10.1 Mbits/sec  871  
[  5]  54.00-55.00  sec  1.27 MBytes  10.7 Mbits/sec  923  
[  5]  55.00-56.00  sec  1.06 MBytes  8.88 Mbits/sec  767  
[  5]  56.00-57.00  sec  1.13 MBytes  9.49 Mbits/sec  819  
[  5]  57.00-58.00  sec  1.08 MBytes  9.04 Mbits/sec  780  
[  5]  58.00-59.00  sec  1.13 MBytes  9.49 Mbits/sec  819  
[  5]  59.00-60.00  sec  1.26 MBytes  10.5 Mbits/sec  910  
[  5]  60.00-61.00  sec  1.06 MBytes  8.88 Mbits/sec  767  
[  5]  61.00-62.00  sec  1.35 MBytes  11.3 Mbits/sec  975  
[  5]  62.00-63.00  sec  1.09 MBytes  9.13 Mbits/sec  788  
[  5]  63.00-64.00  sec  1.01 MBytes  8.49 Mbits/sec  733  
[  5]  64.00-65.00  sec  1.06 MBytes  8.88 Mbits/sec  767  
[  5]  65.00-66.00  sec  1.06 MBytes  8.88 Mbits/sec  767  
[  5]  66.00-67.00  sec  1.45 MBytes  12.2 Mbits/sec  1053  
[  5]  67.00-68.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  68.00-69.00  sec  1.08 MBytes  9.07 Mbits/sec  783  
[  5]  69.00-70.00  sec  1.18 MBytes  9.90 Mbits/sec  855  
[  5]  70.00-71.00  sec  1011 KBytes  8.28 Mbits/sec  715  
[  5]  71.00-72.00  sec  1.08 MBytes  9.04 Mbits/sec  780  
[  5]  72.00-73.00  sec  1.04 MBytes  8.73 Mbits/sec  754  
[  5]  73.00-74.00  sec   956 KBytes  7.83 Mbits/sec  676  
[  5]  74.00-75.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  75.00-76.00  sec  1.02 MBytes  8.58 Mbits/sec  741  
[  5]  76.00-77.00  sec   993 KBytes  8.13 Mbits/sec  702  
[  5]  77.00-78.00  sec  1.04 MBytes  8.73 Mbits/sec  754  
[  5]  78.00-79.00  sec  1.08 MBytes  9.04 Mbits/sec  780  
[  5]  79.00-80.00  sec  1.06 MBytes  8.88 Mbits/sec  767  
[  5]  80.00-81.00  sec  1.04 MBytes  8.73 Mbits/sec  754  
[  5]  81.00-82.00  sec  1.01 MBytes  8.43 Mbits/sec  728  
[  5]  82.00-83.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  83.00-84.00  sec  1.08 MBytes  9.04 Mbits/sec  780  
[  5]  84.00-85.00  sec  1.04 MBytes  8.73 Mbits/sec  754  
[  5]  85.00-86.00  sec  1.06 MBytes  8.88 Mbits/sec  767  
[  5]  86.00-87.00  sec  1.01 MBytes  8.43 Mbits/sec  728  
