Connecting to host 192.168.2.5, port 5201
[  5] local 192.168.2.4 port 35004 connected to 192.168.2.5 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec  1.40 MBytes  11.7 Mbits/sec  1012  
[  5]   1.00-2.00   sec  1.33 MBytes  11.1 Mbits/sec  962  
[  5]   2.00-3.00   sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]   3.00-4.00   sec  1.33 MBytes  11.1 Mbits/sec  962  
[  5]   4.00-5.00   sec  1.33 MBytes  11.1 Mbits/sec  962  
[  5]   5.00-6.00   sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]   6.00-7.00   sec  1.29 MBytes  10.8 Mbits/sec  935  
[  5]   7.00-8.00   sec  1.33 MBytes  11.1 Mbits/sec  960  
[  5]   8.00-9.00   sec  1.30 MBytes  10.9 Mbits/sec  939  
[  5]   9.00-10.00  sec  1.29 MBytes  10.8 Mbits/sec  936  
[  5]  10.00-11.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  11.00-12.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  12.00-13.00  sec  1.29 MBytes  10.8 Mbits/sec  936  
[  5]  13.00-14.00  sec  1.27 MBytes  10.7 Mbits/sec  923  
[  5]  14.00-15.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  15.00-16.00  sec  1.29 MBytes  10.8 Mbits/sec  936  
[  5]  16.00-17.00  sec  1.26 MBytes  10.5 Mbits/sec  910  
[  5]  17.00-18.00  sec  1.29 MBytes  10.8 Mbits/sec  936  
[  5]  18.00-19.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  19.00-20.00  sec  1.29 MBytes  10.8 Mbits/sec  936  
[  5]  20.00-21.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  21.00-22.00  sec  1.33 MBytes  11.1 Mbits/sec  962  
[  5]  22.00-23.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  23.00-24.00  sec  1.33 MBytes  11.1 Mbits/sec  962  
[  5]  24.00-25.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  25.00-26.00  sec  1.26 MBytes  10.5 Mbits/sec  910  
[  5]  26.00-27.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  27.00-28.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  28.00-29.00  sec  1.29 MBytes  10.8 Mbits/sec  936  
[  5]  29.00-30.00  sec  1.35 MBytes  11.3 Mbits/sec  975  
[  5]  30.00-31.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  31.00-32.00  sec  1.35 MBytes  11.3 Mbits/sec  975  
[  5]  32.00-33.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  33.00-34.00  sec  1.29 MBytes  10.8 Mbits/sec  936  
[  5]  34.00-35.00  sec  1.29 MBytes  10.8 Mbits/sec  936  
[  5]  35.00-36.00  sec  1.29 MBytes  10.8 Mbits/sec  936  
[  5]  36.00-37.00  sec  1.27 MBytes  10.7 Mbits/sec  923  
[  5]  37.00-38.00  sec  1.33 MBytes  11.1 Mbits/sec  962  
[  5]  38.00-39.00  sec  1.29 MBytes  10.8 Mbits/sec  936  
[  5]  39.00-40.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  40.00-41.00  sec  1.36 MBytes  11.4 Mbits/sec  988  
[  5]  41.00-42.00  sec  1.26 MBytes  10.5 Mbits/sec  910  
[  5]  42.00-43.00  sec  1.26 MBytes  10.6 Mbits/sec  913  
[  5]  43.00-44.00  sec  1.29 MBytes  10.8 Mbits/sec  933  
[  5]  44.00-45.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  45.00-46.00  sec  1.27 MBytes  10.7 Mbits/sec  923  
[  5]  46.00-47.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  47.00-48.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  48.00-49.00  sec  1.29 MBytes  10.8 Mbits/sec  936  
[  5]  49.00-50.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  50.00-51.00  sec  1.29 MBytes  10.8 Mbits/sec  936  
[  5]  51.00-52.00  sec  1.27 MBytes  10.7 Mbits/sec  923  
[  5]  52.00-53.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  53.00-54.00  sec  1.22 MBytes  10.2 Mbits/sec  884  
[  5]  54.00-55.00  sec  1.33 MBytes  11.1 Mbits/sec  962  
[  5]  55.00-56.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  56.00-57.00  sec  1.26 MBytes  10.5 Mbits/sec  910  
[  5]  57.00-58.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  58.00-59.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  59.00-60.00  sec  1.27 MBytes  10.7 Mbits/sec  923  
[  5]  60.00-61.00  sec  1.27 MBytes  10.7 Mbits/sec  923  
[  5]  61.00-62.00  sec  1.26 MBytes  10.5 Mbits/sec  910  
[  5]  62.00-63.00  sec  1.33 MBytes  11.1 Mbits/sec  962  
[  5]  63.00-64.00  sec  1.33 MBytes  11.1 Mbits/sec  962  
[  5]  64.00-65.00  sec  1.29 MBytes  10.9 Mbits/sec  937  
[  5]  65.00-66.00  sec  1.31 MBytes  11.0 Mbits/sec  948  
[  5]  66.00-67.00  sec  1.29 MBytes  10.8 Mbits/sec  936  
[  5]  67.00-67.28  sec   386 KBytes  11.2 Mbits/sec  273  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-67.28  sec  87.6 MBytes  10.9 Mbits/sec  0.000 ms  0/63464 (0%)  sender
[  5]   0.00-67.28  sec  0.00 Bytes  0.00 bits/sec  0.000 ms  0/0 (0%)  receiver
