-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.2.4, port 39842
[  5] local 192.168.2.5 port 5201 connected to 192.168.2.4 port 57616
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec   486 KBytes  3.98 Mbits/sec  0.137 ms  0/344 (0%)  
[  5]   1.00-2.00   sec   485 KBytes  3.97 Mbits/sec  0.488 ms  0/343 (0%)  
[  5]   2.00-3.00   sec   491 KBytes  4.02 Mbits/sec  0.195 ms  0/347 (0%)  
[  5]   3.00-4.00   sec   489 KBytes  4.01 Mbits/sec  0.248 ms  0/346 (0%)  
[  5]   4.00-5.00   sec   488 KBytes  4.00 Mbits/sec  0.152 ms  0/345 (0%)  
[  5]   5.00-6.00   sec   488 KBytes  4.00 Mbits/sec  0.105 ms  0/345 (0%)  
[  5]   6.00-7.00   sec   489 KBytes  4.01 Mbits/sec  0.176 ms  0/346 (0%)  
[  5]   7.00-8.00   sec   488 KBytes  4.00 Mbits/sec  0.139 ms  0/345 (0%)  
[  5]   8.00-9.00   sec   488 KBytes  4.00 Mbits/sec  0.192 ms  0/345 (0%)  
[  5]   9.00-10.00  sec   488 KBytes  4.00 Mbits/sec  1.012 ms  0/345 (0%)  
[  5]  10.00-11.00  sec   489 KBytes  4.01 Mbits/sec  0.252 ms  0/346 (0%)  
[  5]  11.00-12.00  sec   488 KBytes  4.00 Mbits/sec  0.268 ms  0/345 (0%)  
[  5]  12.00-13.00  sec   488 KBytes  4.00 Mbits/sec  0.056 ms  0/345 (0%)  
[  5]  13.00-14.00  sec   489 KBytes  4.01 Mbits/sec  0.450 ms  0/346 (0%)  
[  5]  14.00-15.00  sec   488 KBytes  4.00 Mbits/sec  0.246 ms  0/345 (0%)  
[  5]  15.00-16.00  sec   488 KBytes  4.00 Mbits/sec  0.297 ms  0/345 (0%)  
[  5]  16.00-17.00  sec   484 KBytes  3.96 Mbits/sec  1.405 ms  0/342 (0%)  
[  5]  17.00-18.00  sec   494 KBytes  4.04 Mbits/sec  0.240 ms  0/349 (0%)  
[  5]  18.00-19.00  sec   488 KBytes  4.00 Mbits/sec  0.227 ms  0/345 (0%)  
[  5]  19.00-20.00  sec   489 KBytes  4.01 Mbits/sec  0.279 ms  0/346 (0%)  
[  5]  20.00-21.00  sec   488 KBytes  4.00 Mbits/sec  0.212 ms  0/345 (0%)  
[  5]  21.00-22.00  sec   488 KBytes  4.00 Mbits/sec  0.167 ms  0/345 (0%)  
[  5]  22.00-23.00  sec   488 KBytes  4.00 Mbits/sec  0.205 ms  0/345 (0%)  
[  5]  23.00-24.00  sec   489 KBytes  4.01 Mbits/sec  0.291 ms  0/346 (0%)  
[  5]  24.00-25.00  sec   488 KBytes  4.00 Mbits/sec  0.153 ms  0/345 (0%)  
[  5]  25.00-26.00  sec   488 KBytes  4.00 Mbits/sec  0.151 ms  0/345 (0%)  
[  5]  26.00-27.00  sec   489 KBytes  4.01 Mbits/sec  0.462 ms  0/346 (0%)  
[  5]  27.00-28.00  sec   488 KBytes  4.00 Mbits/sec  0.179 ms  0/345 (0%)  
[  5]  28.00-29.00  sec   488 KBytes  4.00 Mbits/sec  0.520 ms  0/345 (0%)  
[  5]  29.00-30.00  sec   489 KBytes  4.01 Mbits/sec  0.427 ms  0/346 (0%)  
[  5]  30.00-31.00  sec   488 KBytes  4.00 Mbits/sec  0.299 ms  0/345 (0%)  
[  5]  31.00-32.00  sec   488 KBytes  4.00 Mbits/sec  0.295 ms  0/345 (0%)  
[  5]  32.00-33.00  sec   488 KBytes  4.00 Mbits/sec  0.107 ms  0/345 (0%)  
[  5]  33.00-34.00  sec   489 KBytes  4.01 Mbits/sec  0.230 ms  0/346 (0%)  
[  5]  34.00-35.00  sec   488 KBytes  4.00 Mbits/sec  0.388 ms  0/345 (0%)  
[  5]  35.00-36.00  sec   488 KBytes  4.00 Mbits/sec  0.205 ms  0/345 (0%)  
[  5]  36.00-37.00  sec   489 KBytes  4.01 Mbits/sec  0.114 ms  0/346 (0%)  
[  5]  37.00-38.00  sec   488 KBytes  4.00 Mbits/sec  0.158 ms  0/345 (0%)  
[  5]  38.00-39.00  sec   488 KBytes  4.00 Mbits/sec  0.528 ms  0/345 (0%)  
[  5]  39.00-40.00  sec   489 KBytes  4.01 Mbits/sec  0.309 ms  0/346 (0%)  
[  5]  40.00-41.00  sec   488 KBytes  4.00 Mbits/sec  0.259 ms  0/345 (0%)  
[  5]  41.00-42.00  sec   488 KBytes  4.00 Mbits/sec  0.212 ms  0/345 (0%)  
[  5]  42.00-43.00  sec   489 KBytes  4.01 Mbits/sec  0.225 ms  0/346 (0%)  
[  5]  43.00-44.00  sec   488 KBytes  4.00 Mbits/sec  0.250 ms  0/345 (0%)  
[  5]  44.00-45.00  sec   488 KBytes  4.00 Mbits/sec  0.348 ms  0/345 (0%)  
[  5]  45.00-46.00  sec   488 KBytes  4.00 Mbits/sec  0.620 ms  0/345 (0%)  
[  5]  46.00-47.00  sec   489 KBytes  4.01 Mbits/sec  0.032 ms  0/346 (0%)  
[  5]  47.00-48.00  sec   488 KBytes  4.00 Mbits/sec  0.538 ms  0/345 (0%)  
[  5]  48.00-49.00  sec   488 KBytes  4.00 Mbits/sec  0.117 ms  0/345 (0%)  
[  5]  49.00-50.00  sec   489 KBytes  4.01 Mbits/sec  0.179 ms  0/346 (0%)  
[  5]  50.00-51.00  sec   488 KBytes  4.00 Mbits/sec  0.237 ms  0/345 (0%)  
[  5]  51.00-52.00  sec   488 KBytes  4.00 Mbits/sec  0.090 ms  0/345 (0%)  
[  5]  52.00-53.00  sec   485 KBytes  3.97 Mbits/sec  0.422 ms  0/343 (0%)  
[  5]  53.00-54.00  sec   492 KBytes  4.03 Mbits/sec  0.260 ms  0/348 (0%)  
[  5]  54.00-55.00  sec   488 KBytes  4.00 Mbits/sec  0.294 ms  0/345 (0%)  
[  5]  55.00-56.00  sec   488 KBytes  4.00 Mbits/sec  0.095 ms  0/345 (0%)  
[  5]  56.00-57.00  sec   489 KBytes  4.01 Mbits/sec  0.090 ms  0/346 (0%)  
[  5]  57.00-58.00  sec   488 KBytes  4.00 Mbits/sec  0.744 ms  0/345 (0%)  
[  5]  58.00-59.00  sec   488 KBytes  4.00 Mbits/sec  0.151 ms  0/345 (0%)  
[  5]  59.00-60.00  sec   489 KBytes  4.01 Mbits/sec  0.219 ms  0/346 (0%)  
[  5]  60.00-61.00  sec   488 KBytes  4.00 Mbits/sec  0.259 ms  0/345 (0%)  
[  5]  61.00-62.00  sec   488 KBytes  4.00 Mbits/sec  0.291 ms  0/345 (0%)  
[  5]  62.00-63.00  sec   489 KBytes  4.01 Mbits/sec  0.191 ms  0/346 (0%)  
[  5]  63.00-64.00  sec   488 KBytes  4.00 Mbits/sec  0.167 ms  0/345 (0%)  
[  5]  64.00-65.00  sec   488 KBytes  4.00 Mbits/sec  0.423 ms  0/345 (0%)  
[  5]  65.00-66.00  sec   489 KBytes  4.01 Mbits/sec  0.171 ms  0/346 (0%)  
[  5]  66.00-67.00  sec   488 KBytes  4.00 Mbits/sec  0.120 ms  0/345 (0%)  
[  5]  67.00-68.00  sec   488 KBytes  4.00 Mbits/sec  0.184 ms  0/345 (0%)  
[  5]  68.00-69.00  sec   488 KBytes  4.00 Mbits/sec  0.255 ms  0/345 (0%)  
[  5]  69.00-70.00  sec   489 KBytes  4.01 Mbits/sec  0.397 ms  0/346 (0%)  
[  5]  70.00-71.00  sec   488 KBytes  4.00 Mbits/sec  0.455 ms  0/345 (0%)  
[  5]  71.00-72.00  sec   488 KBytes  4.00 Mbits/sec  0.179 ms  0/345 (0%)  
[  5]  72.00-73.00  sec   489 KBytes  4.01 Mbits/sec  0.085 ms  0/346 (0%)  
[  5]  73.00-74.00  sec   488 KBytes  4.00 Mbits/sec  0.330 ms  0/345 (0%)  
[  5]  74.00-75.00  sec   489 KBytes  4.01 Mbits/sec  0.497 ms  0/346 (0%)  
[  5]  75.00-76.00  sec   484 KBytes  3.96 Mbits/sec  0.332 ms  0/342 (0%)  
[  5]  76.00-77.00  sec   492 KBytes  4.03 Mbits/sec  0.248 ms  0/348 (0%)  
[  5]  77.00-78.00  sec   488 KBytes  4.00 Mbits/sec  0.503 ms  0/345 (0%)  
[  5]  78.00-79.00  sec   488 KBytes  4.00 Mbits/sec  0.677 ms  0/345 (0%)  
[  5]  79.00-80.00  sec   489 KBytes  4.01 Mbits/sec  0.185 ms  0/346 (0%)  
[  5]  80.00-81.00  sec   488 KBytes  4.00 Mbits/sec  0.451 ms  0/345 (0%)  
[  5]  81.00-82.00  sec   488 KBytes  4.00 Mbits/sec  0.181 ms  0/345 (0%)  
[  5]  81.00-82.00  sec   488 KBytes  4.00 Mbits/sec  0.181 ms  0/345 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-82.00  sec  39.6 MBytes  4.05 Mbits/sec  0.379 ms  0/28656 (0%)  receiver
-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
