edge_name,unix_timestamp,percentage_cpu_utilisation
edge1,1631657245.7591214,9.5
edge1,1631657248.765178,10.0
edge1,1631657251.7727816,12.8
edge1,1631657254.7800615,10.6
edge1,1631657257.7857103,11.6
edge1,1631657260.7938578,12.8
edge1,1631657263.8007665,14.6
edge1,1631657266.8093371,14.4
edge1,1631657269.8151896,16.4
edge1,1631657272.8242242,13.9
edge1,1631657275.837142,18.8
edge1,1631657278.8447735,15.1
edge1,1631657281.8512955,17.8
edge1,1631657284.8575323,10.1
edge1,1631657287.8642974,10.1
edge1,1631657290.8719902,11.0
edge1,1631657293.8789032,11.3
edge1,1631657296.8938804,10.7
edge1,1631657299.9010599,9.3
edge1,1631657302.9079304,11.5
edge1,1631657305.9161074,13.9
edge1,1631657308.9231703,10.3
edge1,1631657311.9320989,14.4
edge1,1631657314.9402978,7.5
edge1,1631657317.9467237,7.4
edge1,1631657320.9552863,2.8
edge1,1631657323.9849558,2.0
edge1,1631657326.995962,1.8
edge1,1631657330.006651,0.5
edge1,1631657333.0143466,0.8
