-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.2.4, port 53868
[  5] local 192.168.2.1 port 5201 connected to 192.168.2.4 port 56435
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  1.75 MBytes  14.7 Mbits/sec  1.113 ms  0/1266 (0%)  
[  5]   1.00-2.00   sec  1.79 MBytes  15.0 Mbits/sec  0.870 ms  0/1293 (0%)  
[  5]   2.00-3.00   sec  1.80 MBytes  15.1 Mbits/sec  0.816 ms  0/1300 (0%)  
[  5]   3.00-4.00   sec  1.79 MBytes  15.0 Mbits/sec  0.960 ms  0/1294 (0%)  
[  5]   4.00-5.00   sec  1.79 MBytes  15.0 Mbits/sec  0.968 ms  0/1293 (0%)  
[  5]   5.00-6.00   sec  1.79 MBytes  15.0 Mbits/sec  1.019 ms  0/1296 (0%)  
[  5]   6.00-7.00   sec  1.79 MBytes  15.0 Mbits/sec  1.102 ms  0/1294 (0%)  
[  5]   7.00-8.00   sec  1.79 MBytes  15.0 Mbits/sec  0.885 ms  0/1297 (0%)  
[  5]   8.00-9.00   sec  1.78 MBytes  15.0 Mbits/sec  0.874 ms  0/1292 (0%)  
[  5]   9.00-10.00  sec  1.79 MBytes  15.0 Mbits/sec  0.856 ms  0/1297 (0%)  
[  5]  10.00-11.00  sec  1.79 MBytes  15.0 Mbits/sec  0.976 ms  0/1293 (0%)  
[  5]  11.00-12.00  sec  1.79 MBytes  15.0 Mbits/sec  0.943 ms  0/1295 (0%)  
[  5]  12.00-13.00  sec  1.79 MBytes  15.0 Mbits/sec  0.755 ms  0/1297 (0%)  
[  5]  13.00-14.00  sec  1.78 MBytes  14.9 Mbits/sec  1.020 ms  0/1290 (0%)  
[  5]  14.00-15.00  sec  1.80 MBytes  15.1 Mbits/sec  0.846 ms  0/1300 (0%)  
[  5]  15.00-16.00  sec  1.79 MBytes  15.0 Mbits/sec  1.070 ms  0/1294 (0%)  
[  5]  16.00-17.00  sec  1.77 MBytes  14.9 Mbits/sec  0.770 ms  0/1284 (0%)  
[  5]  17.00-18.00  sec  1.80 MBytes  15.1 Mbits/sec  0.913 ms  0/1303 (0%)  
[  5]  18.00-19.00  sec  1.79 MBytes  15.0 Mbits/sec  1.016 ms  0/1294 (0%)  
[  5]  19.00-20.00  sec  1.79 MBytes  15.0 Mbits/sec  0.892 ms  0/1297 (0%)  
[  5]  20.00-21.00  sec  1.79 MBytes  15.0 Mbits/sec  1.112 ms  0/1295 (0%)  
[  5]  21.00-22.00  sec  1.79 MBytes  15.0 Mbits/sec  1.077 ms  0/1294 (0%)  
[  5]  22.00-23.00  sec  1.79 MBytes  15.0 Mbits/sec  1.004 ms  0/1295 (0%)  
[  5]  23.00-24.00  sec  1.79 MBytes  15.0 Mbits/sec  0.926 ms  0/1294 (0%)  
[  5]  24.00-25.00  sec  1.79 MBytes  15.0 Mbits/sec  1.050 ms  0/1296 (0%)  
[  5]  25.00-26.00  sec  1.79 MBytes  15.0 Mbits/sec  1.006 ms  0/1294 (0%)  
[  5]  26.00-27.00  sec  1.79 MBytes  15.0 Mbits/sec  0.854 ms  0/1296 (0%)  
[  5]  27.00-28.00  sec  1.78 MBytes  15.0 Mbits/sec  0.795 ms  0/1292 (0%)  
[  5]  28.00-29.00  sec  1.79 MBytes  15.0 Mbits/sec  0.933 ms  0/1299 (0%)  
[  5]  29.00-30.00  sec  1.79 MBytes  15.0 Mbits/sec  0.896 ms  0/1295 (0%)  
[  5]  30.00-31.00  sec  1.78 MBytes  15.0 Mbits/sec  0.901 ms  0/1291 (0%)  
[  5]  31.00-32.00  sec  1.79 MBytes  15.0 Mbits/sec  1.053 ms  0/1297 (0%)  
[  5]  32.00-33.00  sec  1.79 MBytes  15.0 Mbits/sec  1.039 ms  0/1296 (0%)  
[  5]  33.00-34.00  sec  1.77 MBytes  14.9 Mbits/sec  0.967 ms  0/1283 (0%)  
[  5]  34.00-35.00  sec  1.79 MBytes  15.0 Mbits/sec  1.217 ms  0/1294 (0%)  
[  5]  35.00-36.00  sec  1.80 MBytes  15.1 Mbits/sec  0.882 ms  0/1306 (0%)  
[  5]  36.00-37.00  sec  1.79 MBytes  15.0 Mbits/sec  0.852 ms  0/1293 (0%)  
[  5]  37.00-38.00  sec  1.79 MBytes  15.0 Mbits/sec  1.033 ms  0/1296 (0%)  
[  5]  38.00-39.00  sec  1.79 MBytes  15.0 Mbits/sec  1.058 ms  0/1298 (0%)  
[  5]  39.00-40.00  sec  1.78 MBytes  14.9 Mbits/sec  1.087 ms  0/1290 (0%)  
[  5]  40.00-41.00  sec  1.78 MBytes  14.9 Mbits/sec  0.696 ms  0/1288 (0%)  
[  5]  41.00-42.00  sec  1.80 MBytes  15.1 Mbits/sec  0.961 ms  0/1305 (0%)  
[  5]  42.00-43.00  sec  1.78 MBytes  15.0 Mbits/sec  1.145 ms  0/1292 (0%)  
[  5]  43.00-44.00  sec  1.78 MBytes  15.0 Mbits/sec  0.956 ms  0/1291 (0%)  
[  5]  44.00-45.00  sec  1.79 MBytes  15.0 Mbits/sec  1.048 ms  0/1294 (0%)  
[  5]  45.00-46.00  sec  1.78 MBytes  14.9 Mbits/sec  0.912 ms  0/1286 (0%)  
[  5]  46.00-47.00  sec  1.68 MBytes  14.1 Mbits/sec  3.029 ms  0/1218 (0%)  
[  5]  47.00-48.00  sec  1.67 MBytes  14.0 Mbits/sec  1.175 ms  0/1206 (0%)  
[  5]  48.00-49.00  sec  1.62 MBytes  13.6 Mbits/sec  2.040 ms  0/1174 (0%)  
[  5]  49.00-50.00  sec  1.61 MBytes  13.5 Mbits/sec  1.008 ms  0/1166 (0%)  
[  5]  50.00-51.00  sec  1.62 MBytes  13.6 Mbits/sec  1.517 ms  0/1170 (0%)  
[  5]  51.00-52.00  sec  1.61 MBytes  13.5 Mbits/sec  1.506 ms  0/1163 (0%)  
[  5]  52.00-53.00  sec  1.73 MBytes  14.5 Mbits/sec  1.604 ms  0/1250 (0%)  
[  5]  53.00-54.00  sec  1.55 MBytes  13.0 Mbits/sec  1.096 ms  0/1123 (0%)  
[  5]  54.00-55.00  sec  1.62 MBytes  13.6 Mbits/sec  1.221 ms  0/1170 (0%)  
[  5]  55.00-56.00  sec  1.63 MBytes  13.7 Mbits/sec  1.392 ms  0/1179 (0%)  
[  5]  56.00-57.00  sec  1.62 MBytes  13.6 Mbits/sec  1.628 ms  0/1176 (0%)  
[  5]  57.00-58.00  sec  1.56 MBytes  13.1 Mbits/sec  1.284 ms  0/1131 (0%)  
[  5]  58.00-59.00  sec  1.65 MBytes  13.8 Mbits/sec  1.222 ms  0/1194 (0%)  
[  5]  59.00-60.00  sec  1.58 MBytes  13.3 Mbits/sec  1.239 ms  0/1144 (0%)  
[  5]  60.00-61.00  sec  1.54 MBytes  13.0 Mbits/sec  1.152 ms  0/1118 (0%)  
[  5]  61.00-62.00  sec  1.40 MBytes  11.7 Mbits/sec  1.133 ms  0/1014 (0%)  
[  5]  62.00-63.00  sec  1.49 MBytes  12.5 Mbits/sec  1.707 ms  0/1079 (0%)  
[  5]  63.00-64.00  sec  1.55 MBytes  13.0 Mbits/sec  1.383 ms  0/1120 (0%)  
[  5]  64.00-65.00  sec  1.45 MBytes  12.2 Mbits/sec  1.103 ms  0/1051 (0%)  
[  5]  65.00-66.00  sec  1.52 MBytes  12.8 Mbits/sec  1.329 ms  0/1104 (0%)  
[  5]  66.00-67.00  sec  1.40 MBytes  11.8 Mbits/sec  1.944 ms  0/1015 (0%)  
[  5]  67.00-68.00  sec  1.49 MBytes  12.5 Mbits/sec  1.159 ms  0/1079 (0%)  
[  5]  68.00-69.00  sec  1.46 MBytes  12.2 Mbits/sec  1.788 ms  0/1054 (0%)  
[  5]  69.00-70.00  sec  1.38 MBytes  11.5 Mbits/sec  1.361 ms  0/997 (0%)  
[  5]  70.00-71.00  sec  1.41 MBytes  11.8 Mbits/sec  1.221 ms  0/1018 (0%)  
[  5]  71.00-72.00  sec  1.42 MBytes  11.9 Mbits/sec  1.109 ms  0/1026 (0%)  
[  5]  72.00-73.00  sec  1.48 MBytes  12.4 Mbits/sec  2.468 ms  0/1074 (0%)  
[  5]  73.00-74.00  sec  1.39 MBytes  11.7 Mbits/sec  1.319 ms  0/1008 (0%)  
[  5]  74.00-75.00  sec  1.39 MBytes  11.6 Mbits/sec  1.712 ms  0/1003 (0%)  
[  5]  75.00-75.07  sec  86.3 KBytes  9.63 Mbits/sec  1.126 ms  0/61 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-75.07  sec   127 MBytes  14.2 Mbits/sec  1.126 ms  0/91804 (0%)  receiver
