-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.2.4, port 53072
[  5] local 192.168.2.1 port 5201 connected to 192.168.2.4 port 32906
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  2.67 MBytes  22.4 Mbits/sec  1.086 ms  0/1936 (0%)  
[  5]   1.00-2.00   sec  1.98 MBytes  16.6 Mbits/sec  1.571 ms  0/1434 (0%)  
[  5]   2.00-3.00   sec  1.97 MBytes  16.6 Mbits/sec  1.659 ms  0/1429 (0%)  
[  5]   3.00-4.00   sec  1.97 MBytes  16.5 Mbits/sec  0.930 ms  0/1427 (0%)  
[  5]   4.00-5.00   sec  1.95 MBytes  16.4 Mbits/sec  1.262 ms  0/1414 (0%)  
[  5]   5.00-6.00   sec  1.85 MBytes  15.5 Mbits/sec  1.059 ms  0/1342 (0%)  
[  5]   6.00-7.00   sec  1.97 MBytes  16.5 Mbits/sec  1.405 ms  0/1424 (0%)  
[  5]   7.00-8.00   sec  1.96 MBytes  16.5 Mbits/sec  1.142 ms  0/1421 (0%)  
[  5]   8.00-9.00   sec  1.97 MBytes  16.5 Mbits/sec  1.478 ms  0/1423 (0%)  
[  5]   9.00-10.00  sec  1.98 MBytes  16.6 Mbits/sec  1.479 ms  0/1432 (0%)  
[  5]  10.00-11.00  sec  1.98 MBytes  16.6 Mbits/sec  1.028 ms  0/1437 (0%)  
[  5]  11.00-12.00  sec  1.97 MBytes  16.6 Mbits/sec  0.988 ms  0/1430 (0%)  
[  5]  12.00-13.00  sec  1.97 MBytes  16.6 Mbits/sec  1.045 ms  0/1430 (0%)  
[  5]  13.00-14.00  sec  1.94 MBytes  16.3 Mbits/sec  0.968 ms  0/1404 (0%)  
[  5]  14.00-15.00  sec  1.97 MBytes  16.5 Mbits/sec  1.295 ms  0/1425 (0%)  
[  5]  15.00-16.00  sec  1.97 MBytes  16.5 Mbits/sec  1.413 ms  0/1428 (0%)  
[  5]  16.00-17.00  sec  1.93 MBytes  16.2 Mbits/sec  1.048 ms  0/1398 (0%)  
[  5]  17.00-18.00  sec  1.97 MBytes  16.5 Mbits/sec  1.260 ms  0/1427 (0%)  
[  5]  18.00-19.00  sec  1.90 MBytes  16.0 Mbits/sec  1.192 ms  0/1378 (0%)  
[  5]  19.00-20.00  sec  1.75 MBytes  14.7 Mbits/sec  1.642 ms  0/1268 (0%)  
[  5]  20.00-21.00  sec  1.70 MBytes  14.3 Mbits/sec  1.444 ms  0/1231 (0%)  
[  5]  21.00-22.00  sec  1.87 MBytes  15.7 Mbits/sec  1.107 ms  0/1352 (0%)  
[  5]  22.00-23.00  sec  1.90 MBytes  16.0 Mbits/sec  1.065 ms  0/1378 (0%)  
[  5]  23.00-24.00  sec  1.88 MBytes  15.7 Mbits/sec  1.397 ms  0/1359 (0%)  
[  5]  24.00-25.00  sec  1.88 MBytes  15.8 Mbits/sec  1.396 ms  0/1365 (0%)  
[  5]  25.00-26.00  sec  1.93 MBytes  16.1 Mbits/sec  1.268 ms  0/1394 (0%)  
[  5]  26.00-27.00  sec  1.94 MBytes  16.3 Mbits/sec  1.030 ms  0/1407 (0%)  
[  5]  27.00-28.00  sec  1.91 MBytes  16.0 Mbits/sec  1.312 ms  0/1385 (0%)  
[  5]  28.00-29.00  sec  1.93 MBytes  16.2 Mbits/sec  1.622 ms  0/1401 (0%)  
[  5]  29.00-30.00  sec  1.93 MBytes  16.2 Mbits/sec  1.385 ms  0/1401 (0%)  
[  5]  30.00-31.00  sec  1.93 MBytes  16.2 Mbits/sec  1.150 ms  0/1401 (0%)  
[  5]  31.00-32.00  sec  1.98 MBytes  16.6 Mbits/sec  1.013 ms  0/1432 (0%)  
[  5]  32.00-33.00  sec  1.97 MBytes  16.5 Mbits/sec  1.144 ms  0/1427 (0%)  
[  5]  33.00-34.00  sec  1.93 MBytes  16.2 Mbits/sec  1.365 ms  0/1401 (0%)  
[  5]  34.00-35.00  sec  1.96 MBytes  16.4 Mbits/sec  1.224 ms  0/1419 (0%)  
[  5]  35.00-36.00  sec  1.88 MBytes  15.8 Mbits/sec  1.295 ms  0/1365 (0%)  
[  5]  36.00-37.00  sec  1.95 MBytes  16.4 Mbits/sec  1.450 ms  0/1414 (0%)  
[  5]  37.00-38.00  sec  1.93 MBytes  16.2 Mbits/sec  0.981 ms  0/1398 (0%)  
[  5]  38.00-39.00  sec  1.92 MBytes  16.1 Mbits/sec  1.272 ms  0/1391 (0%)  
[  5]  39.00-40.00  sec  1.92 MBytes  16.1 Mbits/sec  1.127 ms  0/1391 (0%)  
[  5]  40.00-41.00  sec  1.90 MBytes  15.9 Mbits/sec  1.314 ms  0/1373 (0%)  
[  5]  41.00-42.00  sec  1.83 MBytes  15.3 Mbits/sec  1.979 ms  0/1325 (0%)  
[  5]  42.00-43.00  sec  1.82 MBytes  15.2 Mbits/sec  1.362 ms  0/1316 (0%)  
[  5]  43.00-44.00  sec  1.87 MBytes  15.7 Mbits/sec  1.252 ms  0/1356 (0%)  
[  5]  44.00-45.00  sec  1.82 MBytes  15.3 Mbits/sec  1.286 ms  0/1321 (0%)  
[  5]  45.00-46.00  sec  1.87 MBytes  15.7 Mbits/sec  1.036 ms  0/1356 (0%)  
[  5]  46.00-47.00  sec  1.79 MBytes  15.0 Mbits/sec  1.598 ms  0/1295 (0%)  
[  5]  47.00-48.00  sec  1.81 MBytes  15.2 Mbits/sec  1.588 ms  0/1308 (0%)  
[  5]  48.00-49.00  sec  1.72 MBytes  14.4 Mbits/sec  1.233 ms  0/1245 (0%)  
[  5]  49.00-50.00  sec  1.67 MBytes  14.0 Mbits/sec  1.175 ms  0/1209 (0%)  
[  5]  50.00-51.00  sec  1.49 MBytes  12.5 Mbits/sec  2.427 ms  0/1076 (0%)  
[  5]  51.00-52.00  sec  1.63 MBytes  13.7 Mbits/sec  1.407 ms  0/1182 (0%)  
[  5]  52.00-53.00  sec  1.57 MBytes  13.1 Mbits/sec  1.160 ms  0/1135 (0%)  
[  5]  53.00-54.00  sec  1.58 MBytes  13.3 Mbits/sec  1.049 ms  0/1144 (0%)  
[  5]  54.00-55.00  sec  1.56 MBytes  13.1 Mbits/sec  1.401 ms  0/1129 (0%)  
[  5]  55.00-56.00  sec  1.54 MBytes  12.9 Mbits/sec  1.632 ms  0/1116 (0%)  
[  5]  56.00-57.00  sec  1.46 MBytes  12.3 Mbits/sec  1.539 ms  0/1058 (0%)  
[  5]  57.00-58.00  sec  1.40 MBytes  11.7 Mbits/sec  1.552 ms  0/1011 (0%)  
[  5]  58.00-59.00  sec  1.42 MBytes  11.9 Mbits/sec  1.540 ms  0/1029 (0%)  
[  5]  59.00-60.00  sec  1.50 MBytes  12.5 Mbits/sec  1.920 ms  0/1083 (0%)  
[  5]  60.00-61.00  sec  1.38 MBytes  11.5 Mbits/sec  1.945 ms  0/997 (0%)  
[  5]  61.00-62.00  sec  1.40 MBytes  11.7 Mbits/sec  1.555 ms  0/1014 (0%)  
[  5]  62.00-63.00  sec  1.42 MBytes  11.9 Mbits/sec  1.414 ms  0/1028 (0%)  
[  5]  63.00-64.00  sec  1.38 MBytes  11.6 Mbits/sec  1.455 ms  0/1000 (0%)  
[  5]  64.00-65.00  sec  1.51 MBytes  12.6 Mbits/sec  1.115 ms  0/1092 (0%)  
[  5]  65.00-66.00  sec  1.40 MBytes  11.7 Mbits/sec  1.244 ms  0/1014 (0%)  
[  5]  66.00-67.00  sec  1.39 MBytes  11.7 Mbits/sec  1.607 ms  0/1006 (0%)  
[  5]  67.00-68.00  sec  1.37 MBytes  11.5 Mbits/sec  0.967 ms  0/995 (0%)  
[  5]  68.00-69.00  sec  1.37 MBytes  11.5 Mbits/sec  1.631 ms  0/989 (0%)  
[  5]  69.00-70.00  sec  1.31 MBytes  11.0 Mbits/sec  1.908 ms  0/952 (0%)  
[  5]  70.00-71.00  sec  1.44 MBytes  12.1 Mbits/sec  1.694 ms  0/1041 (0%)  
[  5]  71.00-72.00  sec  1.39 MBytes  11.6 Mbits/sec  1.987 ms  0/1003 (0%)  
[  5]  72.00-73.00  sec  1.32 MBytes  11.1 Mbits/sec  2.274 ms  0/957 (0%)  
[  5]  73.00-74.00  sec  1.31 MBytes  11.0 Mbits/sec  1.384 ms  0/950 (0%)  
[  5]  74.00-75.00  sec  1.36 MBytes  11.4 Mbits/sec  1.269 ms  0/986 (0%)  
[  5]  75.00-75.08  sec  91.9 KBytes  9.37 Mbits/sec  1.560 ms  0/65 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-75.08  sec   132 MBytes  14.7 Mbits/sec  1.560 ms  0/95575 (0%)  receiver
