Interval,,Tran,sfer,Bitr,ate,Total Datagrams
0.00-1.00,sec,2.62,MBytes,22,Mbits/sec,1898
1.00-2.00,sec,2.19,MBytes,18.4,Mbits/sec,1586
2.00-3.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
3.00-4.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
4.00-5.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
5.00-6.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
6.00-7.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
7.00-8.00,sec,2,MBytes,16.8,Mbits/sec,1451
8.00-9.00,sec,2,MBytes,16.8,Mbits/sec,1448
9.00-10.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
10.00-11.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
11.00-12.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
12.00-13.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
13.00-14.00,sec,1.99,MBytes,16.7,Mbits/sec,1444
14.00-15.00,sec,2.01,MBytes,16.8,Mbits/sec,1455
15.00-16.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
16.00-17.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
17.00-18.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
18.00-19.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
19.00-20.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
20.00-21.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
21.00-22.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
22.00-23.00,sec,2.01,MBytes,16.9,Mbits/sec,1457
23.00-24.00,sec,2.01,MBytes,16.9,Mbits/sec,1455
24.00-25.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
25.00-26.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
26.00-27.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
27.00-28.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
28.00-29.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
29.00-30.00,sec,1.97,MBytes,16.5,Mbits/sec,1423
30.00-31.00,sec,2,MBytes,16.8,Mbits/sec,1450
31.00-32.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
32.00-33.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
33.00-34.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
34.00-35.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
35.00-36.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
36.00-37.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
37.00-38.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
38.00-39.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
39.00-40.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
40.00-41.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
41.00-42.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
42.00-43.00,sec,1.98,MBytes,16.6,Mbits/sec,1431
43.00-44.00,sec,2.01,MBytes,16.9,Mbits/sec,1455
44.00-45.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
45.00-46.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
46.00-47.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
47.00-48.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
48.00-49.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
49.00-50.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
50.00-51.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
51.00-52.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
52.00-53.00,sec,1.87,MBytes,15.7,Mbits/sec,1352
53.00-54.00,sec,1.87,MBytes,15.7,Mbits/sec,1352
54.00-55.00,sec,1.87,MBytes,15.7,Mbits/sec,1352
55.00-56.00,sec,1.71,MBytes,14.3,Mbits/sec,1235
56.00-57.00,sec,1.83,MBytes,15.4,Mbits/sec,1326
57.00-58.00,sec,1.78,MBytes,14.9,Mbits/sec,1287
58.00-59.00,sec,1.72,MBytes,14.5,Mbits/sec,1248
59.00-60.00,sec,1.72,MBytes,14.5,Mbits/sec,1248
60.00-61.00,sec,1.69,MBytes,14.2,Mbits/sec,1222
61.00-62.00,sec,1.71,MBytes,14.3,Mbits/sec,1235
62.00-63.00,sec,1.71,MBytes,14.3,Mbits/sec,1235
63.00-64.00,sec,1.65,MBytes,13.9,Mbits/sec,1196
64.00-65.00,sec,1.63,MBytes,13.7,Mbits/sec,1183
65.00-66.00,sec,1.71,MBytes,14.3,Mbits/sec,1235
66.00-67.00,sec,1.6,MBytes,13.4,Mbits/sec,1157
67.00-68.00,sec,1.45,MBytes,12.2,Mbits/sec,1053
68.00-69.00,sec,1.65,MBytes,13.9,Mbits/sec,1196
69.00-70.00,sec,1.49,MBytes,12.5,Mbits/sec,1079
70.00-71.00,sec,1.47,MBytes,12.3,Mbits/sec,1066
71.00-72.00,sec,1.69,MBytes,14.1,Mbits/sec,1222
72.00-73.00,sec,1.49,MBytes,12.5,Mbits/sec,1079
73.00-74.00,sec,1.56,MBytes,13.1,Mbits/sec,1131
74.00-75.00,sec,1.56,MBytes,13.1,Mbits/sec,1131
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Tran,sfer,Bitr,ate,Jitter    Lost/Total Datagrams
0.00-75.00,sec,143,MBytes,16,Mbits/sec,0.000 ms  0/103584 (0%)  sender
0.00-75.16,sec,143,MBytes,16,Mbits/sec,2.788 ms  0/103584 (0%)  receiver
,,,,,,
Done.,,,,,,
