edge_name,unix_timestamp,percentage_cpu_utilisation
edge1, 1632151708.8994188, 28.5
edge1, 1632151711.921459, 29.1
edge1, 1632151714.9370315, 28.2
edge1, 1632151717.9975832, 27.0
edge1, 1632151721.0119617, 29.0
edge1, 1632151724.0211618, 26.6
edge1, 1632151728.0668814, 27.5
edge1, 1632151731.0879564, 25.8
edge1, 1632151734.1479213, 27.7
edge1, 1632151737.161094, 27.7
edge1, 1632151740.171869, 28.0
edge1, 1632151743.1822817, 28.4
edge1, 1632151746.1907048, 28.5
edge1, 1632151749.2045152, 26.8
edge1, 1632151753.270438, 28.9
edge1, 1632151756.3155262, 27.3
edge1, 1632151759.327842, 26.9
edge1, 1632151762.3667498, 30.3
edge1, 1632151765.3813624, 28.5
edge1, 1632151769.4261324, 27.7
edge1, 1632151772.4540179, 28.3
edge1, 1632151775.4617786, 27.3
edge1, 1632151778.4754214, 29.2
edge1, 1632151781.5160153, 28.7
edge1, 1632151784.530438, 27.8
edge1, 1632151788.5452032, 28.4
edge1, 1632151791.5576603, 28.9
edge1, 1632151794.5707743, 29.1
edge1, 1632151798.6232486, 0.3
edge1, 1632151801.6342854, 1.0
edge1, 1632151804.645024, 0.3
edge1, 1632151807.6557279, 1.0
edge1, 1632151810.6656077, 0.3
edge1, 1632151813.6898754, 0.5
