edge_name,unix_timestamp,percentage_cpu_utilisation
edge4, 1631464647.5205178, 14.9
edge4, 1631464651.556305, 14.4
edge4, 1631464654.5719216, 14.9
edge4, 1631464657.6068287, 15.7
edge4, 1631464660.6278858, 16.5
edge4, 1631464663.6595793, 14.4
edge4, 1631464668.7816489, 15.6
edge4, 1631464671.8223846, 16.2
edge4, 1631464674.8606627, 14.8
edge4, 1631464678.8926978, 16.4
edge4, 1631464681.9115314, 16.5
edge4, 1631464686.9504273, 14.6
edge4, 1631464689.9711692, 16.4
edge4, 1631464692.9934466, 15.9
edge4, 1631464696.0163715, 16.0
edge4, 1631464699.04158, 14.1
edge4, 1631464702.0836267, 16.8
edge4, 1631464705.1372948, 14.6
edge4, 1631464711.1750982, 15.9
edge4, 1631464715.2175112, 16.3
edge4, 1631464718.2342827, 17.0
edge4, 1631464722.2731636, 16.2
edge4, 1631464725.2918067, 15.4
edge4, 1631464729.3731196, 15.3
edge4, 1631464732.3970501, 14.6
edge4, 1631464735.434415, 16.2
edge4, 1631464738.4473772, 0.8
edge4, 1631464741.4611828, 1.0
edge4, 1631464744.474972, 1.3
edge4, 1631464747.4887528, 0.3
edge4, 1631464750.5022957, 0.5
edge4, 1631464753.5159547, 0.3
