edge_name,unix_timestamp,percentage_cpu_utilisation
edge4, 1631469655.7076998, 26.0
edge4, 1631469664.8953626, 25.4
edge4, 1631469671.0525885, 26.0
edge4, 1631469676.1593075, 25.6
edge4, 1631469679.1812327, 26.0
edge4, 1631469684.249776, 26.7
edge4, 1631469687.2823825, 26.0
edge4, 1631469690.2998052, 26.7
edge4, 1631469694.3503299, 28.2
edge4, 1631469697.3752222, 26.0
edge4, 1631469701.4582841, 26.5
edge4, 1631469704.4781463, 27.5
edge4, 1631469707.503475, 25.4
edge4, 1631469710.5210178, 26.7
edge4, 1631469713.5696213, 27.8
edge4, 1631469717.600529, 26.4
edge4, 1631469720.6276357, 25.9
edge4, 1631469723.6759453, 24.1
edge4, 1631469726.6949148, 25.2
edge4, 1631469729.725019, 16.5
edge4, 1631469732.739321, 1.0
edge4, 1631469735.7587972, 1.5
