edge_name,unix_timestamp,percentage_cpu_utilisation
edge2, 1631485340.4777834, 22.9
edge2, 1631485343.489058, 27.2
edge2, 1631485346.4994023, 28.4
edge2, 1631485349.5106547, 28.1
edge2, 1631485352.5228584, 26.8
edge2, 1631485355.5369182, 27.0
edge2, 1631485358.55089, 28.1
edge2, 1631485361.5620136, 26.6
edge2, 1631485364.5936625, 27.7
edge2, 1631485367.6034827, 26.6
edge2, 1631485370.613944, 27.1
edge2, 1631485373.6266215, 29.0
edge2, 1631485376.640374, 27.1
edge2, 1631485379.6522334, 28.3
edge2, 1631485382.6652586, 27.2
edge2, 1631485385.6793854, 28.6
edge2, 1631485388.692723, 28.7
edge2, 1631485391.7041202, 27.2
edge2, 1631485394.7147353, 28.0
edge2, 1631485397.7267811, 26.9
edge2, 1631485400.7389724, 26.8
edge2, 1631485403.7527006, 26.9
edge2, 1631485406.7657049, 27.9
edge2, 1631485409.7739751, 26.6
edge2, 1631485412.7944567, 26.6
edge2, 1631485415.801413, 0.5
edge2, 1631485418.8106787, 1.0
edge2, 1631485421.8205419, 0.5
edge2, 1631485424.8292332, 0.5
