------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 192.168.2.4 port 5001 connected with 192.168.2.1 port 33163
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  3.47 MBytes  29.1 Mbits/sec   1.012 ms    0/ 2476 (0%)
[  3]  1.0- 2.0 sec  3.53 MBytes  29.6 Mbits/sec   0.626 ms    0/ 2515 (0%)
[  3]  2.0- 3.0 sec  3.57 MBytes  29.9 Mbits/sec   0.695 ms    0/ 2546 (0%)
[  3]  3.0- 4.0 sec  3.45 MBytes  29.0 Mbits/sec   0.491 ms    0/ 2464 (0%)
[  3]  4.0- 5.0 sec  3.31 MBytes  27.8 Mbits/sec   1.576 ms    0/ 2360 (0%)
[  3]  5.0- 6.0 sec  3.52 MBytes  29.5 Mbits/sec   0.753 ms    0/ 2510 (0%)
[  3]  6.0- 7.0 sec  3.42 MBytes  28.7 Mbits/sec   1.150 ms    0/ 2437 (0%)
[  3]  7.0- 8.0 sec  3.55 MBytes  29.8 Mbits/sec   0.502 ms    0/ 2535 (0%)
[  3]  8.0- 9.0 sec  3.65 MBytes  30.6 Mbits/sec   0.495 ms    0/ 2603 (0%)
[  3]  9.0-10.0 sec  3.68 MBytes  30.8 Mbits/sec   0.712 ms    0/ 2623 (0%)
[  3] 10.0-11.0 sec  3.64 MBytes  30.5 Mbits/sec   0.823 ms    0/ 2594 (0%)
[  3] 11.0-12.0 sec  3.63 MBytes  30.4 Mbits/sec   0.870 ms    0/ 2586 (0%)
[  3] 12.0-13.0 sec  3.05 MBytes  25.6 Mbits/sec   1.017 ms    0/ 2177 (0%)
[  3] 13.0-14.0 sec  3.43 MBytes  28.7 Mbits/sec   1.311 ms    0/ 2444 (0%)
[  3] 14.0-15.0 sec  3.45 MBytes  29.0 Mbits/sec   1.163 ms    0/ 2464 (0%)
[  3] 15.0-16.0 sec  3.52 MBytes  29.5 Mbits/sec   0.988 ms    0/ 2508 (0%)
[  3] 16.0-17.0 sec  3.57 MBytes  29.9 Mbits/sec   0.526 ms    0/ 2545 (0%)
[  3] 17.0-18.0 sec  3.45 MBytes  28.9 Mbits/sec   1.369 ms    0/ 2458 (0%)
[  3] 18.0-19.0 sec  3.17 MBytes  26.6 Mbits/sec   0.490 ms    0/ 2258 (0%)
[  3] 19.0-20.0 sec  3.55 MBytes  29.8 Mbits/sec   0.783 ms    0/ 2531 (0%)
[  3] 20.0-21.0 sec  3.47 MBytes  29.1 Mbits/sec   0.533 ms    0/ 2473 (0%)
[  3] 21.0-22.0 sec  3.47 MBytes  29.1 Mbits/sec   2.579 ms    0/ 2474 (0%)
[  3] 22.0-23.0 sec  3.33 MBytes  27.9 Mbits/sec   0.692 ms    0/ 2374 (0%)
[  3] 23.0-24.0 sec  3.50 MBytes  29.4 Mbits/sec   0.775 ms    0/ 2496 (0%)
[  3] 24.0-25.0 sec  3.56 MBytes  29.9 Mbits/sec   0.746 ms    0/ 2542 (0%)
[  3] 25.0-26.0 sec  3.37 MBytes  28.3 Mbits/sec   0.805 ms    0/ 2404 (0%)
[  3] 26.0-27.0 sec  3.49 MBytes  29.3 Mbits/sec   0.758 ms    0/ 2493 (0%)
[  3] 27.0-28.0 sec  3.42 MBytes  28.7 Mbits/sec   0.713 ms    0/ 2443 (0%)
[  3] 28.0-29.0 sec  3.01 MBytes  25.3 Mbits/sec   0.712 ms    0/ 2148 (0%)
[  3] 29.0-30.0 sec  3.53 MBytes  29.6 Mbits/sec   0.784 ms    0/ 2515 (0%)
[  3] 30.0-31.0 sec  3.43 MBytes  28.7 Mbits/sec   0.811 ms    0/ 2444 (0%)
[  3] 31.0-32.0 sec  3.52 MBytes  29.5 Mbits/sec   0.646 ms    0/ 2510 (0%)
[  3] 32.0-33.0 sec  3.59 MBytes  30.1 Mbits/sec   0.709 ms    0/ 2558 (0%)
[  3] 33.0-34.0 sec  3.53 MBytes  29.6 Mbits/sec   0.454 ms    0/ 2521 (0%)
[  3] 34.0-35.0 sec  3.55 MBytes  29.8 Mbits/sec   0.714 ms    0/ 2533 (0%)
[  3] 35.0-36.0 sec  3.51 MBytes  29.5 Mbits/sec   0.566 ms    0/ 2506 (0%)
[  3] 36.0-37.0 sec  3.52 MBytes  29.6 Mbits/sec   1.626 ms    0/ 2513 (0%)
[  3] 37.0-38.0 sec  3.47 MBytes  29.1 Mbits/sec   1.170 ms    0/ 2476 (0%)
[  3] 38.0-39.0 sec  3.52 MBytes  29.5 Mbits/sec   1.283 ms    0/ 2509 (0%)
[  3] 39.0-40.0 sec  3.55 MBytes  29.8 Mbits/sec   0.554 ms    0/ 2531 (0%)
[  3] 40.0-41.0 sec  3.46 MBytes  29.0 Mbits/sec   0.550 ms    0/ 2470 (0%)
[  3] 41.0-42.0 sec  3.65 MBytes  30.6 Mbits/sec   0.455 ms    0/ 2603 (0%)
[  3] 42.0-43.0 sec  3.48 MBytes  29.2 Mbits/sec   1.085 ms    0/ 2479 (0%)
[  3] 43.0-44.0 sec  3.47 MBytes  29.1 Mbits/sec   0.785 ms    0/ 2476 (0%)
[  3] 44.0-45.0 sec  3.51 MBytes  29.5 Mbits/sec   0.955 ms    0/ 2505 (0%)
[  3] 45.0-46.0 sec  3.52 MBytes  29.6 Mbits/sec   0.928 ms    0/ 2513 (0%)
[  3] 46.0-47.0 sec  3.57 MBytes  29.9 Mbits/sec   1.389 ms    0/ 2544 (0%)
[  3] 47.0-48.0 sec  2.97 MBytes  24.9 Mbits/sec   1.018 ms    0/ 2120 (0%)
[  3] 48.0-49.0 sec  3.53 MBytes  29.6 Mbits/sec   0.793 ms    0/ 2516 (0%)
[  3] 49.0-50.0 sec  3.55 MBytes  29.8 Mbits/sec   1.554 ms    0/ 2532 (0%)
[  3] 50.0-51.0 sec  3.41 MBytes  28.6 Mbits/sec   1.355 ms    0/ 2432 (0%)
[  3] 51.0-52.0 sec  3.42 MBytes  28.7 Mbits/sec   0.952 ms    0/ 2443 (0%)
[  3] 52.0-53.0 sec  3.35 MBytes  28.1 Mbits/sec   1.048 ms    0/ 2389 (0%)
[  3] 53.0-54.0 sec  3.38 MBytes  28.4 Mbits/sec   0.887 ms    0/ 2413 (0%)
[  3] 54.0-55.0 sec  3.57 MBytes  29.9 Mbits/sec   0.797 ms    0/ 2546 (0%)
[  3] 55.0-56.0 sec  3.50 MBytes  29.3 Mbits/sec   0.978 ms    0/ 2495 (0%)
[  3] 56.0-57.0 sec  3.60 MBytes  30.2 Mbits/sec   0.492 ms    0/ 2568 (0%)
[  3] 57.0-58.0 sec  3.50 MBytes  29.4 Mbits/sec   0.545 ms    0/ 2498 (0%)
[  3] 58.0-59.0 sec  3.28 MBytes  27.5 Mbits/sec   0.980 ms    0/ 2337 (0%)
[  3] 59.0-60.0 sec  3.48 MBytes  29.2 Mbits/sec   1.181 ms    0/ 2479 (0%)
[  3] 60.0-61.0 sec  3.53 MBytes  29.6 Mbits/sec   0.611 ms    0/ 2517 (0%)
[  3] 61.0-62.0 sec  3.59 MBytes  30.1 Mbits/sec   0.575 ms    0/ 2559 (0%)
[  3] 62.0-63.0 sec  2.99 MBytes  25.0 Mbits/sec   0.947 ms    0/ 2130 (0%)
[  3] 63.0-64.0 sec  3.46 MBytes  29.0 Mbits/sec   0.504 ms    0/ 2468 (0%)
[  3] 64.0-65.0 sec  3.39 MBytes  28.4 Mbits/sec   1.539 ms    0/ 2419 (0%)
[  3] 65.0-66.0 sec  3.35 MBytes  28.1 Mbits/sec   0.603 ms    0/ 2389 (0%)
[  3] 66.0-67.0 sec  3.53 MBytes  29.6 Mbits/sec   1.342 ms    0/ 2515 (0%)
[  3] 67.0-68.0 sec  3.60 MBytes  30.2 Mbits/sec   0.655 ms    0/ 2568 (0%)
[  3] 68.0-69.0 sec  3.50 MBytes  29.4 Mbits/sec   0.772 ms    0/ 2497 (0%)
[  3] 69.0-70.0 sec  3.43 MBytes  28.8 Mbits/sec   0.615 ms    0/ 2450 (0%)
[  3] 70.0-71.0 sec  3.57 MBytes  29.9 Mbits/sec   0.702 ms    0/ 2543 (0%)
[  3] 71.0-72.0 sec  3.45 MBytes  28.9 Mbits/sec   0.530 ms    0/ 2459 (0%)
[  3] 72.0-73.0 sec  3.56 MBytes  29.9 Mbits/sec   0.785 ms    0/ 2539 (0%)
[  3] 73.0-74.0 sec  3.48 MBytes  29.2 Mbits/sec   1.100 ms    0/ 2483 (0%)
[  3] 74.0-75.0 sec  3.45 MBytes  28.9 Mbits/sec   0.743 ms    0/ 2459 (0%)
[  3]  0.0-75.1 sec   260 MBytes  29.1 Mbits/sec   1.325 ms    0/185588 (0%)
