------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 192.168.2.4 port 5001 connected with 192.168.2.1 port 56163
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  3.64 MBytes  30.5 Mbits/sec   0.658 ms    0/ 2593 (0%)
[  3]  1.0- 2.0 sec  3.52 MBytes  29.5 Mbits/sec   0.705 ms    0/ 2510 (0%)
[  3]  2.0- 3.0 sec  3.44 MBytes  28.9 Mbits/sec   0.722 ms    0/ 2454 (0%)
[  3]  3.0- 4.0 sec  3.46 MBytes  29.1 Mbits/sec   0.721 ms    0/ 2471 (0%)
[  3]  4.0- 5.0 sec  3.58 MBytes  30.1 Mbits/sec   0.522 ms    0/ 2557 (0%)
[  3]  5.0- 6.0 sec  3.57 MBytes  30.0 Mbits/sec   1.312 ms    0/ 2550 (0%)
[  3]  6.0- 7.0 sec  3.54 MBytes  29.7 Mbits/sec   0.675 ms    0/ 2522 (0%)
[  3]  7.0- 8.0 sec  3.49 MBytes  29.2 Mbits/sec   0.530 ms    0/ 2487 (0%)
[  3]  8.0- 9.0 sec  3.53 MBytes  29.6 Mbits/sec   1.226 ms    0/ 2517 (0%)
[  3]  9.0-10.0 sec  3.47 MBytes  29.1 Mbits/sec   0.723 ms    0/ 2478 (0%)
[  3] 10.0-11.0 sec  3.63 MBytes  30.4 Mbits/sec   0.479 ms    0/ 2587 (0%)
[  3] 11.0-12.0 sec  3.58 MBytes  30.0 Mbits/sec   1.371 ms    0/ 2555 (0%)
[  3] 12.0-13.0 sec  3.61 MBytes  30.3 Mbits/sec   0.481 ms    0/ 2576 (0%)
[  3] 13.0-14.0 sec  3.60 MBytes  30.2 Mbits/sec   0.969 ms    0/ 2566 (0%)
[  3] 14.0-15.0 sec  3.59 MBytes  30.1 Mbits/sec   1.250 ms    0/ 2560 (0%)
[  3] 15.0-16.0 sec  3.50 MBytes  29.4 Mbits/sec   0.518 ms    0/ 2498 (0%)
[  3] 16.0-17.0 sec  3.54 MBytes  29.7 Mbits/sec   1.001 ms    0/ 2524 (0%)
[  3] 17.0-18.0 sec  3.58 MBytes  30.1 Mbits/sec   0.578 ms    0/ 2556 (0%)
[  3] 18.0-19.0 sec  3.63 MBytes  30.5 Mbits/sec   0.671 ms    0/ 2592 (0%)
[  3] 19.0-20.0 sec  3.51 MBytes  29.4 Mbits/sec   1.315 ms    0/ 2503 (0%)
[  3] 20.0-21.0 sec  3.61 MBytes  30.3 Mbits/sec   0.569 ms    0/ 2578 (0%)
[  3] 21.0-22.0 sec  3.53 MBytes  29.6 Mbits/sec   0.481 ms    0/ 2521 (0%)
[  3] 22.0-23.0 sec  3.57 MBytes  30.0 Mbits/sec   0.575 ms    0/ 2550 (0%)
[  3] 23.0-24.0 sec  3.60 MBytes  30.2 Mbits/sec   0.547 ms    0/ 2568 (0%)
[  3] 24.0-25.0 sec  3.51 MBytes  29.5 Mbits/sec   1.125 ms    0/ 2505 (0%)
[  3] 25.0-26.0 sec  3.58 MBytes  30.0 Mbits/sec   0.832 ms    0/ 2554 (0%)
[  3] 26.0-27.0 sec  3.57 MBytes  30.0 Mbits/sec   0.724 ms    0/ 2547 (0%)
[  3] 27.0-28.0 sec  3.56 MBytes  29.8 Mbits/sec   0.944 ms    0/ 2536 (0%)
[  3] 28.0-29.0 sec  3.49 MBytes  29.2 Mbits/sec   1.534 ms    0/ 2487 (0%)
[  3] 29.0-30.0 sec  3.58 MBytes  30.0 Mbits/sec   0.557 ms    0/ 2553 (0%)
[  3] 30.0-31.0 sec  3.52 MBytes  29.5 Mbits/sec   0.849 ms    0/ 2508 (0%)
[  3] 31.0-32.0 sec  3.56 MBytes  29.9 Mbits/sec   0.687 ms    0/ 2542 (0%)
[  3] 32.0-33.0 sec  3.58 MBytes  30.0 Mbits/sec   0.575 ms    0/ 2553 (0%)
[  3] 33.0-34.0 sec  3.56 MBytes  29.8 Mbits/sec   1.292 ms    0/ 2538 (0%)
[  3] 34.0-35.0 sec  3.53 MBytes  29.6 Mbits/sec   0.666 ms    0/ 2515 (0%)
[  3] 35.0-36.0 sec  3.53 MBytes  29.6 Mbits/sec   1.342 ms    0/ 2515 (0%)
[  3] 36.0-37.0 sec  3.54 MBytes  29.7 Mbits/sec   1.055 ms    0/ 2524 (0%)
[  3] 37.0-38.0 sec  3.61 MBytes  30.3 Mbits/sec   0.482 ms    0/ 2577 (0%)
[  3] 38.0-39.0 sec  3.58 MBytes  30.1 Mbits/sec   0.775 ms    0/ 2557 (0%)
[  3] 39.0-40.0 sec  3.59 MBytes  30.1 Mbits/sec   0.563 ms    0/ 2559 (0%)
[  3] 40.0-41.0 sec  3.48 MBytes  29.2 Mbits/sec   0.794 ms    0/ 2482 (0%)
[  3] 41.0-42.0 sec  3.62 MBytes  30.4 Mbits/sec   1.040 ms    0/ 2584 (0%)
[  3] 42.0-43.0 sec  3.63 MBytes  30.4 Mbits/sec   0.791 ms    0/ 2588 (0%)
[  3] 43.0-44.0 sec  3.60 MBytes  30.2 Mbits/sec   1.364 ms    0/ 2566 (0%)
[  3] 44.0-45.0 sec  3.60 MBytes  30.2 Mbits/sec   0.771 ms    0/ 2565 (0%)
[  3] 45.0-46.0 sec  3.58 MBytes  30.0 Mbits/sec   1.026 ms    0/ 2551 (0%)
[  3] 46.0-47.0 sec  3.52 MBytes  29.6 Mbits/sec   0.685 ms    0/ 2514 (0%)
[  3] 47.0-48.0 sec  3.55 MBytes  29.8 Mbits/sec   1.399 ms    0/ 2532 (0%)
[  3] 48.0-49.0 sec  3.49 MBytes  29.3 Mbits/sec   0.440 ms    0/ 2489 (0%)
[  3] 49.0-50.0 sec  3.53 MBytes  29.6 Mbits/sec   0.547 ms    0/ 2515 (0%)
[  3] 50.0-51.0 sec  3.62 MBytes  30.4 Mbits/sec   0.748 ms    0/ 2583 (0%)
[  3] 51.0-52.0 sec  3.51 MBytes  29.5 Mbits/sec   0.613 ms    0/ 2506 (0%)
[  3] 52.0-53.0 sec  3.60 MBytes  30.2 Mbits/sec   0.888 ms    0/ 2565 (0%)
[  3] 53.0-54.0 sec  3.63 MBytes  30.4 Mbits/sec   0.692 ms    0/ 2587 (0%)
[  3] 54.0-55.0 sec  3.56 MBytes  29.9 Mbits/sec   0.516 ms    0/ 2540 (0%)
[  3] 55.0-56.0 sec  3.59 MBytes  30.2 Mbits/sec   0.529 ms    0/ 2564 (0%)
[  3] 56.0-57.0 sec  3.60 MBytes  30.2 Mbits/sec   0.862 ms    0/ 2566 (0%)
[  3] 57.0-58.0 sec  3.62 MBytes  30.4 Mbits/sec   0.752 ms    0/ 2582 (0%)
[  3] 58.0-59.0 sec  3.59 MBytes  30.1 Mbits/sec   0.572 ms    0/ 2558 (0%)
[  3] 59.0-60.0 sec  3.59 MBytes  30.1 Mbits/sec   0.642 ms    0/ 2559 (0%)
[  3] 60.0-61.0 sec  3.55 MBytes  29.8 Mbits/sec   1.009 ms    0/ 2530 (0%)
[  3] 61.0-62.0 sec  3.32 MBytes  27.9 Mbits/sec   0.567 ms    0/ 2370 (0%)
[  3] 62.0-63.0 sec  3.61 MBytes  30.3 Mbits/sec   0.816 ms    0/ 2576 (0%)
[  3] 63.0-64.0 sec  3.56 MBytes  29.9 Mbits/sec   0.537 ms    0/ 2540 (0%)
[  3] 64.0-65.0 sec  3.54 MBytes  29.7 Mbits/sec   0.813 ms    0/ 2525 (0%)
[  3] 65.0-66.0 sec  3.52 MBytes  29.5 Mbits/sec   0.626 ms    0/ 2509 (0%)
[  3] 66.0-67.0 sec  3.52 MBytes  29.5 Mbits/sec   0.497 ms    0/ 2511 (0%)
[  3] 67.0-68.0 sec  3.60 MBytes  30.2 Mbits/sec   0.700 ms    0/ 2568 (0%)
[  3] 68.0-69.0 sec  3.46 MBytes  29.0 Mbits/sec   0.583 ms    0/ 2468 (0%)
[  3] 69.0-70.0 sec  3.58 MBytes  30.0 Mbits/sec   0.586 ms    0/ 2552 (0%)
[  3] 70.0-71.0 sec  3.57 MBytes  29.9 Mbits/sec   1.054 ms    0/ 2545 (0%)
[  3] 71.0-72.0 sec  3.59 MBytes  30.1 Mbits/sec   0.601 ms    0/ 2563 (0%)
[  3] 72.0-73.0 sec  3.46 MBytes  29.0 Mbits/sec   1.320 ms    0/ 2469 (0%)
[  3] 73.0-74.0 sec  3.57 MBytes  29.9 Mbits/sec   0.481 ms    0/ 2546 (0%)
[  3] 74.0-75.0 sec  3.60 MBytes  30.2 Mbits/sec   0.637 ms    0/ 2571 (0%)
[  3]  0.0-75.0 sec   267 MBytes  29.8 Mbits/sec   1.314 ms    0/190404 (0%)
