edge_name,unix_timestamp,percentage_cpu_utilisation
edge1, 1632179879.5119734, 20.7
edge1, 1632179882.5211942, 20.4
edge1, 1632179885.5287626, 20.7
edge1, 1632179888.5398898, 19.0
edge1, 1632179891.5485473, 21.3
edge1, 1632179894.5596268, 21.0
edge1, 1632179897.568807, 20.9
edge1, 1632179900.5803208, 19.3
edge1, 1632179903.5924284, 21.4
edge1, 1632179906.6011832, 21.1
edge1, 1632179909.609263, 18.5
edge1, 1632179912.617977, 18.9
edge1, 1632179915.6280544, 21.3
edge1, 1632179918.6382968, 20.8
edge1, 1632179921.6471536, 20.4
edge1, 1632179924.655105, 20.3
edge1, 1632179927.6613142, 20.5
edge1, 1632179930.6679742, 21.5
edge1, 1632179933.6780632, 20.3
edge1, 1632179936.6848886, 21.1
edge1, 1632179939.699694, 21.4
edge1, 1632179942.7090023, 21.1
edge1, 1632179945.7176456, 18.8
edge1, 1632179948.7252772, 21.9
edge1, 1632179951.7347708, 21.8
edge1, 1632179954.7459679, 1.3
edge1, 1632179957.7578473, 0.8
edge1, 1632179960.7694628, 0.8
edge1, 1632179963.7810194, 1.5
