edge_name,unix_timestamp,percentage_cpu_utilisation
edge1, 1632186666.2204282, 18.1
edge1, 1632186669.229418, 23.6
edge1, 1632186672.2424836, 25.7
edge1, 1632186675.2613225, 21.9
edge1, 1632186678.2696037, 21.1
edge1, 1632186681.2855337, 24.5
edge1, 1632186684.2969918, 24.2
edge1, 1632186687.3080733, 23.9
edge1, 1632186690.3172224, 25.3
edge1, 1632186693.3273275, 22.0
edge1, 1632186696.3391469, 24.8
edge1, 1632186699.3503542, 22.8
edge1, 1632186702.3614554, 23.4
edge1, 1632186705.3712053, 25.5
edge1, 1632186708.3829007, 25.3
edge1, 1632186711.3950236, 25.7
edge1, 1632186714.4060209, 21.9
edge1, 1632186717.4161248, 24.1
edge1, 1632186720.4259331, 24.4
edge1, 1632186723.4366663, 24.1
edge1, 1632186726.446957, 25.3
edge1, 1632186729.4570875, 23.9
edge1, 1632186732.466837, 22.8
edge1, 1632186735.4772484, 24.8
edge1, 1632186738.489874, 24.2
edge1, 1632186741.5012357, 14.0
edge1, 1632186744.5125108, 1.8
