edge_name,unix_timestamp,percentage_cpu_utilisation
edge1, 1632188035.13626, 21.7
edge1, 1632188038.1496735, 25.8
edge1, 1632188041.1601927, 24.4
edge1, 1632188044.6001453, 27.1
edge1, 1632188047.6123648, 25.9
edge1, 1632188051.2932203, 25.8
edge1, 1632188054.3056521, 24.2
edge1, 1632188057.3193583, 25.1
edge1, 1632188060.3295085, 25.8
edge1, 1632188063.344595, 25.0
edge1, 1632188066.354586, 25.8
edge1, 1632188069.3660111, 25.1
edge1, 1632188072.3766158, 24.1
edge1, 1632188075.39002, 25.0
edge1, 1632188078.4018955, 24.9
