edge_name,unix_timestamp,percentage_cpu_utilisation
edge4, 1631496871.7956903, 26.0
edge4, 1631496874.8093562, 26.5
edge4, 1631496877.8248053, 30.0
edge4, 1631496880.8369393, 30.4
edge4, 1631496883.8526964, 27.2
edge4, 1631496886.866303, 27.2
edge4, 1631496889.8798518, 31.4
edge4, 1631496892.9151952, 28.9
edge4, 1631496895.9286563, 26.5
edge4, 1631496898.9432795, 26.8
edge4, 1631496901.9573271, 31.7
edge4, 1631496904.9711978, 27.2
edge4, 1631496907.9845722, 26.6
edge4, 1631496911.0027363, 27.0
edge4, 1631496914.0165176, 33.0
edge4, 1631496917.0305636, 26.2
edge4, 1631496920.0451405, 26.8
edge4, 1631496923.0565789, 27.7
edge4, 1631496926.0685775, 31.1
edge4, 1631496929.081716, 27.3
edge4, 1631496932.1113715, 26.0
edge4, 1631496935.1252115, 28.2
edge4, 1631496938.1409554, 30.9
edge4, 1631496941.1536841, 27.0
edge4, 1631496944.1888742, 26.4
edge4, 1631496947.2017925, 0.5
edge4, 1631496950.222445, 0.3
edge4, 1631496953.2369287, 0.5
